thisRow.t,notes,overall_trial_num,participant,session,age,gender,handedness,phase,n_shapes,block_num,trial_in_block,prop_used,stimulus_logit,detection_accuracy,is_timeout,rt_choice,early_response,true_controlled,response_controlled,quest_alpha_sd,mean_evidence,sum_evidence,var_evidence,target_snippet_id,distractor_snippet_ids,quest_alpha_mean,quest_beta_mean,quest_beta_sd,quest_lambda_mean,quest_lambda_sd,control_condition,threshold_75,agency_rating,img_A_name,img_B_name,trigger_stim_onset,trigger_motion_start,trigger_resp_onset,trigger_resp_val,participant,session,age,gender,handedness,quest_threshold_75,quest_alpha_sd,miniblock_order,starts_with,
,,1,1,001,26,f,r,calibration,2,0,1,0.347354013008391,-0.6306903787402434,1,False,0.8954072999767959,False,dot,dot,0.7868489501376656,9.42846434908934,1649.9812610906345,299.4724293907744,946,[np.int64(1373)],0.08546844611530306,3.2884933912590077,2.0699589733917225,0.0266646667842519,0.021664116488440077,,,,,,,,,,1,001,26,f,r,,0.7868489501376656,,,
,,2,1,001,26,f,r,calibration,2,0,2,0.5350820483873121,0.14055915473515587,1,False,0.5428153000539169,False,dot,dot,0.6692602983639965,14.191154901492311,2568.599037170108,202.69988930584958,10,[np.int64(722)],0.524820450452436,3.2637768867652444,2.0581988369923665,0.027642037913681694,0.021816470896102922,,,,,,,,,,1,001,26,f,r,,0.6692602983639965,,,
,,3,1,001,26,f,r,calibration,2,0,3,0.6580745541515514,0.654725510385422,1,False,0.5896231000078842,False,square,square,0.5808229165403259,16.909614650033486,3060.640251656061,189.62709062441806,766,[np.int64(663)],0.8928716220818758,3.2108174330377013,2.0334934840301817,0.028757533097993553,0.021950347178927604,,,,,,,,,,1,001,26,f,r,,0.5808229165403259,,,
,,4,1,001,26,f,r,calibration,2,0,4,0.7133701336716126,0.9118086882105548,1,False,0.37303480005357414,False,dot,dot,0.500412824156857,17.22449334842717,3117.633296065318,202.93981683514005,238,[np.int64(923)],1.16749347576237,3.2041365491814333,2.029272198672087,0.02969202608119345,0.022031837273457713,,,,,,,,,,1,001,26,f,r,,0.500412824156857,,,
,,5,1,001,26,f,r,calibration,2,0,5,0.7629446568996856,1.1688918660356877,1,False,0.6007945999735966,False,square,square,0.4343407037372122,19.358675869489637,3503.9203323776246,193.9633405071982,1055,[np.int64(1064)],1.3846262534476836,3.207191306744719,2.029674811177174,0.030600555463982288,0.022083572444872475,,,,,,,,,,1,001,26,f,r,,0.4343407037372122,,,
,,6,1,001,26,f,r,calibration,2,0,6,0.806273406195118,1.4259750438608214,1,False,0.5002219000598416,False,square,square,0.37807094393047863,18.62884810826841,3371.8215075965823,207.24439770692408,793,[np.int64(560)],1.5656861415564134,3.1940063286969838,2.0233568733629577,0.03158112288539452,0.0221084526622147,,,,,,,,,,1,001,26,f,r,,0.37807094393047863,,,
,,7,1,001,26,f,r,calibration,2,0,7,0.806273406195118,1.4259750438608214,1,False,0.500302999978885,False,square,square,0.3264389170112949,17.00243706287065,3077.4411083795876,214.31829501048776,820,[np.int64(1087)],1.6872175158715823,3.2818221499230615,2.067467433150316,0.03225222313588115,0.02210847954394654,,,,,,,,,,1,001,26,f,r,,0.3264389170112949,,,
,,8,1,001,26,f,r,calibration,2,0,8,0.843309065531368,1.683058221685953,1,False,0.39960340003017336,False,dot,dot,0.2823772003663323,19.167135186363534,3469.2514687318,200.3715619208305,344,[np.int64(678)],1.7983799297235494,3.305869437923276,2.083295516327932,0.033140213179164026,0.02208444626184673,,,,,,,,,,1,001,26,f,r,,0.2823772003663323,,,
,,9,1,001,26,f,r,calibration,2,0,9,0.843309065531368,1.683058221685953,1,False,0.4301638000179082,False,square,square,0.24378573560083688,18.05168180260555,3267.3544062716046,208.11217491368674,929,[np.int64(334)],1.8759208933016562,3.411365218066211,2.13977489868287,0.03381874969493479,0.022049299407362163,,,,,,,,,,1,001,26,f,r,,0.24378573560083688,,,
,,10,1,001,26,f,r,calibration,2,0,10,0.8743676768795192,1.940141399511088,1,False,0.5297476999694481,False,dot,dot,0.2103346241529415,18.021586262636067,3261.9071135371278,222.17329260250787,643,[np.int64(1043)],1.9486184100650352,3.3700916846039415,2.12407258918309,0.034863930759036384,0.02196269899477357,,,,,,,,,,1,001,26,f,r,,0.2103346241529415,,,
,,11,1,001,26,f,r,calibration,2,0,11,0.8743676768795192,1.940141399511088,1,False,0.36632990010548383,False,dot,dot,0.18095935580743266,19.733385607120965,3571.742794888895,211.6456486168862,675,[np.int64(1340)],nan,nan,nan,nan,nan,,,,,,,,,,1,001,26,f,r,,0.18095935580743266,,,
,,12,1,001,26,f,r,test,2,1,1,0.747098598451668,,1,False,1.1459228999447078,False,img_B,img_B,0.18095935580743266,19.521856084638113,3357.7592465577554,166.18574764330376,277,[np.int64(176)],,,,,,low,0.8834830954573921,5,mushroom_08n,ketchup_15s,11,21,31,41,1,001,26,f,r,0.8834830954573921,0.18095935580743266,"['low', 'high', 'low', 'high', 'low', 'high']",low,
,,13,1,001,26,f,r,test,2,1,2,0.747098598451668,,1,False,1.31484620005358,False,img_A,img_A,0.18095935580743266,21.048942906341324,3809.85866604778,163.3998258816855,864,[np.int64(253)],,,,,,low,0.8834830954573921,5,puppy_06s,otter_02s,11,21,31,41,1,001,26,f,r,0.8834830954573921,0.18095935580743266,"['low', 'high', 'low', 'high', 'low', 'high']",low,
,,14,1,001,26,f,r,test,2,1,3,0.747098598451668,,1,False,0.816748300101608,False,img_A,img_A,0.18095935580743266,19.93078693297074,3607.472434867704,197.59200416740651,1217,[np.int64(1501)],,,,,,low,0.8834830954573921,6,banana_06s,headset_09s,11,21,31,41,1,001,26,f,r,0.8834830954573921,0.18095935580743266,"['low', 'high', 'low', 'high', 'low', 'high']",low,
,,15,1,001,26,f,r,test,2,1,4,0.747098598451668,,1,False,0.8497822999488562,False,img_A,img_A,0.18095935580743266,15.803225509955157,2860.3838173018835,192.7816772405442,1292,[np.int64(72)],,,,,,low,0.8834830954573921,5,juicer1_09s,worm_06s,11,21,31,41,1,001,26,f,r,0.8834830954573921,0.18095935580743266,"['low', 'high', 'low', 'high', 'low', 'high']",low,
,,16,1,001,26,f,r,test,2,1,5,0.747098598451668,,1,False,0.5232762000523508,False,img_B,img_B,0.18095935580743266,20.130862644515933,3643.6861386573837,200.83087629231792,1567,[np.int64(777)],,,,,,low,0.8834830954573921,5,wooden_leg_02s,limousine_01s,11,21,31,41,1,001,26,f,r,0.8834830954573921,0.18095935580743266,"['low', 'high', 'low', 'high', 'low', 'high']",low,
,,17,1,001,26,f,r,test,2,2,1,0.8999999999999999,,1,False,0.8784088999964297,False,img_B,img_B,0.18095935580743266,16.18802912350516,2930.033271354434,219.03915481584855,179,[np.int64(1348)],,,,,,high,0.8834830954573921,4,costume_04s,lion_22s,13,23,33,41,1,001,26,f,r,0.8834830954573921,0.18095935580743266,"['low', 'high', 'low', 'high', 'low', 'high']",low,
,,18,1,001,26,f,r,test,2,2,2,0.8999999999999999,,1,False,0.627269099932164,False,img_A,img_A,0.18095935580743266,21.622425676095297,3913.6590473732485,240.6742452393227,1409,[np.int64(549)],,,,,,high,0.8834830954573921,5,sponge_06s,doorknocker_04s,13,23,33,41,1,001,26,f,r,0.8834830954573921,0.18095935580743266,"['low', 'high', 'low', 'high', 'low', 'high']",low,
,,19,1,001,26,f,r,test,2,2,3,0.8999999999999999,,1,False,1.0468835000647232,False,img_B,img_B,0.18095935580743266,14.692452304134289,2659.3338670483063,191.50559808581514,1548,[np.int64(1237)],,,,,,high,0.8834830954573921,7,ham_10s,macaroni_11s,13,23,33,41,1,001,26,f,r,0.8834830954573921,0.18095935580743266,"['low', 'high', 'low', 'high', 'low', 'high']",low,
,,20,1,001,26,f,r,test,2,2,4,0.8999999999999999,,1,False,0.44548820005729795,False,img_B,img_B,0.18095935580743266,19.23534042668847,3481.596617230613,202.3362125430499,323,[np.int64(1113)],,,,,,high,0.8834830954573921,6,cornhusk_12s,coin_15s,13,23,33,41,1,001,26,f,r,0.8834830954573921,0.18095935580743266,"['low', 'high', 'low', 'high', 'low', 'high']",low,
,,21,1,001,26,f,r,test,2,2,5,0.8999999999999999,,1,False,0.9804622000083327,False,img_B,img_B,0.18095935580743266,22.25966896479487,4029.000082627871,208.26938449487002,1339,[np.int64(570)],,,,,,high,0.8834830954573921,5,pencil_sharpener_11s,bracelet1_05s,13,23,33,41,1,001,26,f,r,0.8834830954573921,0.18095935580743266,"['low', 'high', 'low', 'high', 'low', 'high']",low,
,,22,1,001,26,f,r,test,2,3,1,0.747098598451668,,1,False,0.6832739999517798,False,img_B,img_B,0.18095935580743266,19.45146868873683,3520.7158326613667,207.42992519026868,941,[np.int64(1461)],,,,,,low,0.8834830954573921,5,bedpan_08s,suit_06s,11,21,31,41,1,001,26,f,r,0.8834830954573921,0.18095935580743266,"['low', 'high', 'low', 'high', 'low', 'high']",low,
,,23,1,001,26,f,r,test,2,3,2,0.747098598451668,,1,False,0.8566239000065252,False,img_B,img_B,0.18095935580743266,17.26653413902305,3125.2426791631724,209.3818056659002,1077,[np.int64(22)],,,,,,low,0.8834830954573921,5,pretzel_07s,cigarette_09s,11,21,31,41,1,001,26,f,r,0.8834830954573921,0.18095935580743266,"['low', 'high', 'low', 'high', 'low', 'high']",low,
,,24,1,001,26,f,r,test,2,3,3,0.747098598451668,,1,False,0.6926187999779359,False,img_B,img_B,0.18095935580743266,17.403896145303417,3150.1052022999183,188.92707625286917,44,[np.int64(618)],,,,,,low,0.8834830954573921,7,corset_08s,container_04s,11,21,31,41,1,001,26,f,r,0.8834830954573921,0.18095935580743266,"['low', 'high', 'low', 'high', 'low', 'high']",low,
