participant,session,age,gender,handedness,phase,overall_trial_num,trial_in_block,mem_filename,mem_ground_truth,controlled,mem_response,mem_rt,mem_trigger_onset,mem_trigger_resp
1,001,26,f,r,memory_test,42,1,coin_15s,seen,no,yes,2.3851150000700727,51,61
1,001,26,f,r,memory_test,43,2,bracelet1_05s,seen,yes,yes,1.335070199915208,51,61
1,001,26,f,r,memory_test,44,3,barrette_09s,seen,yes,yes,1.7249455000273883,51,61
1,001,26,f,r,memory_test,45,4,otter_12s,unseen,,no,0.8795772000448778,52,61
1,001,26,f,r,memory_test,46,5,bracelet1_12s,unseen,,no,10.924117299960926,52,61
1,001,26,f,r,memory_test,47,6,barrette_01b,unseen,,no,1.812368700047955,52,61
1,001,26,f,r,memory_test,48,7,worm_06s,seen,no,yes,0.9448866000166163,51,61
1,001,26,f,r,memory_test,49,8,bedpan_13s,unseen,,yes,1.1513712999876589,52,62
1,001,26,f,r,memory_test,50,9,ham_11s,unseen,,no,1.25365490000695,52,61
1,001,26,f,r,memory_test,51,10,cornhusk_12s,seen,yes,no,0.9008487000828609,51,62
1,001,26,f,r,memory_test,52,11,coin_03s,unseen,,no,0.7466794999781996,52,61
1,001,26,f,r,memory_test,53,12,ketchup_15s,seen,no,yes,0.5779318999266252,51,61
1,001,26,f,r,memory_test,54,13,cigarette_06s,unseen,,no,0.7610951000824571,52,61
1,001,26,f,r,memory_test,55,14,limousine_01s,seen,no,yes,0.7189007999841124,51,61
1,001,26,f,r,memory_test,56,15,bedpan_08s,seen,no,yes,2.54719940002542,51,61
1,001,26,f,r,memory_test,57,16,sponge_06s,seen,yes,yes,2.2903042000252753,51,61
1,001,26,f,r,memory_test,58,17,corset_08s,seen,yes,no,0.8672005999833345,51,62
1,001,26,f,r,memory_test,59,18,suit_14s,unseen,,no,0.5054333000443876,52,61
1,001,26,f,r,memory_test,60,19,cornhusk_03s,unseen,,yes,0.6933694999897853,52,62
1,001,26,f,r,memory_test,61,20,batter_04s,seen,no,yes,0.9789895999711007,51,61
1,001,26,f,r,memory_test,62,21,mushroom_07n,unseen,,no,1.880674900021404,52,61
1,001,26,f,r,memory_test,63,22,banana_06s,seen,no,no,0.6567384999943897,51,62
1,001,26,f,r,memory_test,64,23,cigarette_09s,seen,yes,yes,0.7239485000027344,51,61
1,001,26,f,r,memory_test,65,24,wooden_leg_02s,seen,yes,no,0.8882408000063151,51,62
1,001,26,f,r,memory_test,66,25,headset_03s,unseen,,no,2.6489738000091165,52,61
1,001,26,f,r,memory_test,67,26,puppy_06s,seen,no,no,0.34286930004600435,51,62
1,001,26,f,r,memory_test,68,27,creme_brulee_10s,seen,yes,no,0.3765784000279382,51,62
1,001,26,f,r,memory_test,69,28,otter_02s,seen,yes,yes,0.1870968999573961,51,61
1,001,26,f,r,memory_test,70,29,pretzel_02s,unseen,,yes,0.1912540999474004,52,62
1,001,26,f,r,memory_test,71,30,suit_06s,seen,yes,no,0.0002688999520614743,51,62
