thisRow.t,notes,overall_trial_num,participant,session,age,gender,handedness,phase,calib_target,n_shapes,block_num,trial_in_block,prop_used,stimulus_logit,detection_accuracy,is_timeout,rt_choice,early_response,true_controlled,response_controlled,quest_alpha_sd,mean_evidence,sum_evidence,var_evidence,target_snippet_id,distractor_snippet_ids,quest_alpha_mean,quest_beta_mean,quest_beta_sd,quest_lambda_mean,quest_lambda_sd,control_condition,threshold_75,agency_rating,img_A_name,img_B_name,trigger_stim_onset,trigger_motion_start,trigger_resp_onset,trigger_resp_val,participant,session,age,gender,handedness,quest_prop_low,quest_low_converged,quest_prop_high,quest_high_converged,miniblock_order,starts_with,
,,1,99,001,26,f,r,calibration,0.55,2,0,1,0.347354013008391,-0.6306903787402434,0,False,1.2059808999911183,False,dot,square,0.7868489501376656,5.415613953535807,947.7324418687663,185.22218355503955,732,[np.int64(1117)],0.08546844611530306,3.2884933912590077,2.0699589733917225,0.0266646667842519,0.021664116488440077,,,,,,,,,,99,001,26,f,r,,,,,,,
,,2,99,001,26,f,r,calibration,0.55,2,0,2,0.5350820483873121,0.14055915473515587,1,False,0.6919287000055192,False,square,square,0.7680685877645114,10.570480372469229,1913.2569474169304,173.1815355268072,132,[np.int64(1034)],-0.06239143700573463,3.2968115039161887,2.0738354920765576,0.02633574150448608,0.02160265882743015,,,,,,,,,,99,001,26,f,r,,,,,,,
,,3,99,001,26,f,r,calibration,0.55,2,0,3,0.5350820483873121,0.14055915473515587,1,False,0.34986380000191275,False,square,square,0.7386941509577899,15.009254941531308,2716.675144417167,217.94394431616837,1108,[np.int64(887)],-0.19599638378391793,3.320733594217113,2.083914488125944,0.025983896614999752,0.02153275512190456,,,,,,,,,,99,001,26,f,r,,,,,,,
,,4,99,001,26,f,r,calibration,0.55,2,0,4,0.5350820483873121,0.14055915473515587,1,False,0.46766710000520106,False,dot,dot,0.7042880712139795,13.620345529892013,2465.2825409104544,220.77519831742273,860,[np.int64(631)],-0.3120815790034459,3.3577691000380265,2.09887292076611,0.025613595780084104,0.021454525462129854,,,,,,,,,,99,001,26,f,r,,,,,,,
,,5,99,001,26,f,r,calibration,0.55,2,0,5,0.47090191089840744,-0.11652402308997703,0,False,0.44984289999410976,False,square,dot,0.6387861871347889,8.419134332632252,1523.8633142064377,161.45148301852754,869,[np.int64(670)],0.09359726731415345,3.263497057326002,2.0556474568387926,0.02684123675794639,0.021682191269239284,,,,,,,,,,99,001,26,f,r,,,,,,,
,,6,99,001,26,f,r,calibration,0.55,2,0,6,0.5981210736084265,0.3976423325602886,1,False,0.42269110000052024,False,square,square,0.6051522799776166,19.320030955022975,3496.9256028591585,170.64308507800823,933,[np.int64(1052)],-0.0017752577343099157,3.306228611362324,2.074343514802417,0.026465422795501594,0.021613790411480475,,,,,,,,,,99,001,26,f,r,,,,,,,
,,7,99,001,26,f,r,calibration,0.55,2,0,7,0.5981210736084265,0.3976423325602886,1,False,0.5100468999880832,False,square,square,0.5725684668658941,8.035116879542688,1454.3561551972264,157.8428820591423,1262,[np.int64(1438)],-0.08246732213008325,3.3592658035493432,2.096499544095964,0.02607680732445179,0.02153793924521574,,,,,,,,,,99,001,26,f,r,,,,,,,
,,8,99,001,26,f,r,calibration,0.55,2,0,8,0.5981210736084265,0.3976423325602886,1,False,0.5972896000021137,False,dot,dot,0.5435727215812947,13.272492703951992,2402.3211794153103,173.25738471358804,521,[np.int64(1240)],-0.1499128906158738,3.4203983580553987,2.1207953745869292,0.025678681574710288,0.021454811573479515,,,,,,,,,,99,001,26,f,r,,,,,,,
,,9,99,001,26,f,r,calibration,0.55,2,0,9,0.5350820483873121,0.14055915473515587,1,False,0.4257532999909017,False,square,square,0.5240912940401845,12.37430802163131,2239.749751915267,204.03947034843816,720,[np.int64(798)],-0.22147880133917242,3.4693128999628406,2.141690789937968,0.025309569770664023,0.021372911678917462,,,,,,,,,,99,001,26,f,r,,,,,,,
,,10,99,001,26,f,r,calibration,0.55,2,0,10,0.47090191089840744,-0.11652402308997703,1,False,0.4974906999996165,False,square,square,0.5161445466863794,8.191136882566148,1482.5957757444728,372.9498534896446,325,[np.int64(524)],-0.29844456879229514,3.487198647317401,2.148994831529262,0.02497839916353246,0.021295479636885068,,,,,,,,,,99,001,26,f,r,,,,,,,
,,11,99,001,26,f,r,calibration,0.55,2,0,11,0.40766968306220214,-0.37360720091511007,1,False,0.6141510000015842,False,square,square,0.5206078723551556,6.227584075487693,1127.1927176632723,483.80409819565944,699,[np.int64(16)],nan,nan,nan,nan,nan,,,,,,,,,,99,001,26,f,r,,,,,,,
,,12,99,001,26,f,r,calibration,0.55,2,0,12,0.40766968306220214,-0.37360720091511007,0,False,0.6436957999976585,False,square,dot,0.44320438505353627,8.267633033656686,1496.4415790918601,329.20849766053396,1525,[np.int64(1195)],nan,nan,nan,nan,nan,,,,,,,,,,99,001,26,f,r,,,,,,,
,,13,99,001,26,f,r,calibration,0.55,2,0,13,0.5350820483873121,0.14055915473515587,1,False,0.7401913000066997,False,dot,dot,0.42340179326247274,17.37527588078142,3144.924934421437,186.51418720137116,31,[np.int64(1341)],nan,nan,nan,nan,nan,,,,,,,,,,99,001,26,f,r,,,,,,,
,,14,99,001,26,f,r,calibration,0.55,2,0,14,0.47090191089840744,-0.11652402308997703,1,False,0.38357819999509957,False,dot,dot,0.4138537123461925,8.70318775396997,1575.2769834685646,268.0372396765149,1107,[np.int64(595)],nan,nan,nan,nan,nan,,,,,,,,,,99,001,26,f,r,,,,,,,
,,15,99,001,26,f,r,calibration,0.55,2,0,15,0.47090191089840744,-0.11652402308997703,1,False,0.5093489999999292,False,dot,dot,0.4052350378094994,9.030401714774573,1634.5027103741977,253.3112797462617,478,[np.int64(1538)],nan,nan,nan,nan,nan,,,,,,,,,,99,001,26,f,r,,,,,,,
,,16,99,001,26,f,r,calibration,0.55,2,0,16,0.40766968306220214,-0.37360720091511007,1,False,0.8130888000014238,False,dot,dot,0.40771578021951516,5.0307935548731715,910.5736334320441,374.16738237800814,1051,[np.int64(1446)],nan,nan,nan,nan,nan,,,,,,,,,,99,001,26,f,r,,,,,,,
,,17,99,001,26,f,r,calibration,0.55,2,0,17,0.40766968306220214,-0.37360720091511007,1,False,0.6806372999999439,False,square,square,0.40967179761374506,6.383993610781664,1155.5028435514812,319.08307412342447,159,[np.int64(1073)],nan,nan,nan,nan,nan,,,,,,,,,,99,001,26,f,r,,,,,,,
,,18,99,001,26,f,r,calibration,0.55,2,0,18,0.40766968306220214,-0.37360720091511007,1,False,0.4926021999999648,False,dot,dot,0.41102291522561313,8.204114907446534,1484.9447982478227,222.5791636428011,1082,[np.int64(1249)],nan,nan,nan,nan,nan,,,,,,,,,,99,001,26,f,r,,,,,,,
,,19,99,001,26,f,r,calibration,0.55,2,0,19,0.347354013008391,-0.6306903787402434,1,False,0.6457538999966346,False,square,square,0.422950763601552,3.874437582795307,701.2732024859506,287.0853964374554,384,[np.int64(841)],nan,nan,nan,nan,nan,,,,,,,,,,99,001,26,f,r,,,,,,,
,,20,99,001,26,f,r,calibration,0.55,2,0,20,0.347354013008391,-0.6306903787402434,1,False,0.5991171999921789,False,dot,dot,0.43338248894524145,4.285013263856103,775.5874007579547,427.2258195527443,637,[np.int64(622)],-0.6102328471288796,3.504076043674735,2.151085138900244,0.023066920695313818,0.020765769430724893,,,,,,,,,,99,001,26,f,r,,,,,,,
,,21,99,001,26,f,r,calibration,0.55,2,0,21,0.347354013008391,-0.6306903787402434,1,False,0.4481194000109099,False,dot,dot,0.4418287749422272,5.888832771727181,1065.8787316826197,425.92518911583755,701,[np.int64(1303)],nan,nan,nan,nan,nan,,,,,,,,,,99,001,26,f,r,,,,,,,
,,22,99,001,26,f,r,calibration,0.55,2,0,22,0.29156950079727495,-0.887773556565376,1,False,0.6606442000047537,False,square,square,0.4596781081177803,5.105244528068773,924.0492595804478,303.1370394198887,229,[np.int64(770)],nan,nan,nan,nan,nan,,,,,,,,,,99,001,26,f,r,,,,,,,
,,23,99,001,26,f,r,calibration,0.55,2,0,23,0.29156950079727495,-0.887773556565376,1,False,0.5812855999975,False,dot,dot,0.4747823771398138,3.163052554089066,572.512512290121,375.86573114635087,1150,[np.int64(21)],nan,nan,nan,nan,nan,,,,,,,,,,99,001,26,f,r,,,,,,,
,,24,99,001,26,f,r,calibration,0.55,2,0,24,0.29156950079727495,-0.887773556565376,0,False,0.4119784000067739,False,square,dot,0.3845993095791606,2.795994736076991,506.0750472299353,225.42298109441654,1346,[np.int64(458)],nan,nan,nan,nan,nan,,,,,,,,,,99,001,26,f,r,,,,,,,
,,25,99,001,26,f,r,calibration,0.55,2,0,25,0.347354013008391,-0.6306903787402434,1,False,0.7870059999986552,False,dot,dot,0.38615747374240783,5.614914242525316,1016.2994778970822,351.26496355578155,1384,[np.int64(1549)],nan,nan,nan,nan,nan,,,,,,,,,,99,001,26,f,r,,,,,,,
