thisRow.t,notes,trial_num,participant,session,phase,n_shapes,block_num,staircase_trial,prop_used,accuracy,is_timeout,rt_choice,early_response,true_shape,resp_shape,angle_bias,applied_angle_bias,consecutive_correct,reversals,current_staircase_prop,mean_evidence,sum_evidence,var_evidence,target_snippet_id,distractor_snippet_ids,participant,session,threshold_75,staircase_reversals,block_order,
,,1,999,001,calibration,2,0,1,0.25,1,False,0.8036745999997947,False,square,square,0,0,1,0,0.25,0.7682940600983754,139.06122487780596,42.62231748721816,207,[np.int64(14)],999,001,,,,
,,2,999,001,calibration,2,0,2,0.25,1,False,0.8002799000096275,False,dot,dot,0,0,2,0,0.25,0.296549349764205,53.6754323073211,266.92704783450534,722,[np.int64(696)],999,001,,,,
,,3,999,001,calibration,2,0,3,0.25,1,False,0.9984500999999,False,dot,dot,0,0,0,0,0.2,5.088377377378511,920.9963053055105,376.08679594438917,1386,[np.int64(1460)],999,001,,,,
,,4,999,001,calibration,2,0,4,0.2,1,False,0.8786246000090614,False,square,square,0,0,1,0,0.2,7.580652199233753,1372.0980480613093,129.26321801538037,948,[np.int64(980)],999,001,,,,
,,5,999,001,calibration,2,0,5,0.2,0,False,1.0412561999983154,False,dot,square,0,0,0,1,0.25,3.640595591967657,658.9478021461459,39.893820342080794,116,[np.int64(153)],999,001,,,,
,,6,999,001,calibration,2,0,6,0.25,1,False,0.9467738999956055,False,dot,dot,0,0,1,1,0.25,2.246896402859443,406.68824891755924,362.3104748019213,764,[np.int64(551)],999,001,,,,
,,7,999,001,calibration,2,0,7,0.25,1,False,0.7072736999980407,False,square,square,0,0,2,1,0.25,2.582289992064709,464.8121985716476,139.24066719994556,1462,[np.int64(671)],999,001,,,,
,,8,999,001,calibration,2,0,8,0.25,1,False,0.5805274000013014,False,dot,dot,0,0,0,2,0.2,3.907177951604951,707.1992092404962,249.67064494036634,85,[np.int64(778)],999,001,,,,
,,9,999,001,calibration,2,0,9,0.2,0,False,0.5765054999938002,False,dot,square,0,0,0,3,0.25,0.7280854241355905,131.78346176854188,206.28252960311715,76,[np.int64(12)],999,001,,,,
,,10,999,001,calibration,2,0,10,0.25,1,False,0.5378320999880088,False,dot,dot,0,0,1,3,0.25,7.407845392851225,1340.8200161060718,239.43829312133263,514,[np.int64(841)],999,001,,,,
,,11,999,001,calibration,2,0,11,0.25,1,False,0.39988749999611173,False,square,square,0,0,2,3,0.25,1.8826622700357363,340.76187087646827,294.8481233564308,771,[np.int64(147)],999,001,,,,
,,12,999,001,calibration,2,0,12,0.25,0,False,0.6163458999944851,False,square,dot,0,0,0,3,0.3,6.146747751099629,1112.561342949033,148.53260473807148,1448,[np.int64(788)],999,001,,,,
,,13,999,001,calibration,2,0,13,0.3,1,False,0.7405410000064876,False,square,square,0,0,1,3,0.3,12.463652685851939,2255.921136139201,201.23242103551206,277,[np.int64(1064)],999,001,,,,
,,14,999,001,calibration,2,0,14,0.3,1,False,0.9167555000021821,False,dot,dot,0,0,2,3,0.3,2.7001165418169424,488.72109406886653,506.66310739954315,629,[np.int64(103)],999,001,,,,
,,15,999,001,calibration,2,0,15,0.3,1,False,0.6433131000085268,False,square,square,0,0,0,4,0.25,2.955991465186242,535.0344551987098,147.91570729083807,1079,[np.int64(522)],999,001,,,,
,,16,999,001,calibration,2,0,16,0.25,0,False,0.6706848999892827,False,dot,square,0,0,0,5,0.3,3.826861497350698,692.6619310204763,318.0118881516384,1437,[np.int64(1413)],999,001,,,,
,,17,999,001,calibration,2,0,17,0.3,1,False,0.7201462999946671,False,dot,dot,0,0,1,5,0.3,4.720310304135164,854.3761650484646,279.6680881331015,358,[np.int64(170)],999,001,,,,
,,18,999,001,calibration,2,0,18,0.3,1,False,0.5821987999952398,False,dot,dot,0,0,2,5,0.3,5.626012510634993,1018.3082644249338,147.29991782607797,1203,[np.int64(1458)],999,001,,,,
