thisRow.t,notes,trial_num,participant,session,phase,n_shapes,block_num,staircase_trial,prop_used,accuracy,is_timeout,rt_choice,early_response,true_shape,resp_shape,angle_bias,applied_angle_bias,consecutive_correct,reversals,current_staircase_prop,mean_evidence,sum_evidence,var_evidence,target_snippet_id,distractor_snippet_ids,difficulty_level,threshold_75,confidence_rating,agency_rating,img_A_name,img_B_name,trigger_stim_onset,trigger_motion_start,trigger_resp_onset,trigger_resp_val,participant,session,threshold_75,staircase_reversals,block_order,
,,1,99,001,calibration,2,0,1,0.25,0,False,0.8569891999941319,False,dot,square,0,0,0,0,0.3,1.4507300644640964,262.58214166800144,131.26584371131915,732,[np.int64(1117)],,,,,,,,,,,99,001,,,,
,,2,99,001,calibration,2,0,2,0.3,1,False,0.42116569995414466,False,dot,dot,0,0,1,0,0.3,3.46616300692066,627.3755042526394,175.60695739968244,132,[np.int64(1034)],,,,,,,,,,,99,001,,,,
,,3,99,001,calibration,2,0,3,0.3,0,False,0.7638191999867558,False,dot,square,0,0,0,0,0.35,7.825453761605242,1416.4071308505488,486.15164376228523,1108,[np.int64(887)],,,,,,,,,,,99,001,,,,
,,4,99,001,calibration,2,0,4,0.35,0,False,0.8543405999662355,False,square,dot,0,0,0,0,0.39999999999999997,10.199534658086844,1805.3176344813712,318.51229754225784,860,[np.int64(631)],,,,,,,,,,,99,001,,,,
,,5,99,001,calibration,2,0,5,0.39999999999999997,1,False,0.6130814000498503,False,square,square,0,0,1,0,0.39999999999999997,0.9810818823085553,177.5758206978485,59.27625484998122,869,[np.int64(670)],,,,,,,,,,,99,001,,,,
,,6,99,001,calibration,2,0,6,0.39999999999999997,0,False,0.6997544999467209,False,square,dot,0,0,0,0,0.44999999999999996,1.7403171157254063,314.9973979462985,84.3144392583866,933,[np.int64(1052)],,,,,,,,,,,99,001,,,,
,,7,99,001,calibration,2,0,7,0.44999999999999996,1,False,0.6642194000305608,False,dot,dot,0,0,1,0,0.44999999999999996,12.993354393428934,2351.797145210637,293.9623627946002,1262,[np.int64(1438)],,,,,,,,,,,99,001,,,,
,,8,99,001,calibration,2,0,8,0.44999999999999996,1,False,0.6233881999505684,False,dot,dot,0,0,2,0,0.44999999999999996,16.563300930193176,2997.957468364965,159.93012354958196,521,[np.int64(1240)],,,,,,,,,,,99,001,,,,
,,9,99,001,calibration,2,0,9,0.44999999999999996,1,False,0.5493850000202656,False,square,square,0,0,0,1,0.39999999999999997,4.57507275019734,828.0881677857186,129.00442807921868,720,[np.int64(798)],,,,,,,,,,,99,001,,,,
,,10,99,001,calibration,2,0,10,0.39999999999999997,1,False,0.5297356999944896,False,square,square,0,0,1,1,0.39999999999999997,7.447916577509286,1348.0729005291807,222.71015041798353,325,[np.int64(524)],,,,,,,,,,,99,001,,,,
,,11,99,001,test,2,1,,0.2399999999999999,1,False,3.7347610999131575,False,img_B,img_B,0,0,,,,9.87842061379648,1787.994131097163,53.88814900930302,699,[np.int64(16)],level_1,0.3999999999999999,2,4,notebook03a,candy,11,21,31,41,99,001,0.3999999999999999,1,"['level_1', 'level_3', 'level_4', 'level_2']",
,,12,99,001,test,2,1,,0.2399999999999999,1,False,9.544362499960698,False,img_B,img_B,0,0,,,,3.7882941732311624,685.6812453548404,84.09802684532494,1525,[np.int64(1195)],level_1,0.3999999999999999,4,4,kettle01,peanut01,11,21,31,41,99,001,0.3999999999999999,1,"['level_1', 'level_3', 'level_4', 'level_2']",
,,13,99,001,test,2,1,,0.2399999999999999,0,False,17.614169000065885,False,img_B,img_A,0,0,,,,3.7545103782948837,679.5663784713739,105.18015104953307,31,[np.int64(1341)],level_1,0.3999999999999999,4,4,tennisball01b,plasticbasket01a,11,21,31,42,99,001,0.3999999999999999,1,"['level_1', 'level_3', 'level_4', 'level_2']",
,,14,99,001,test,2,1,,0.2399999999999999,1,False,22.708370100008324,False,img_B,img_B,0,0,,,,4.601239765958456,823.6219181065637,243.48112687634858,1107,[np.int64(595)],level_1,0.3999999999999999,3,3,fonduefuel,recyclingbin,11,21,31,41,99,001,0.3999999999999999,1,"['level_1', 'level_3', 'level_4', 'level_2']",
