thisRow.t,notes,trial_num,participant,session,phase,n_shapes,block_num,staircase_trial,prop_used,stimulus_logit,accuracy,is_timeout,rt_choice,early_response,true_shape,resp_shape,angle_bias,applied_angle_bias,quest_alpha_sd,mean_evidence,sum_evidence,var_evidence,target_snippet_id,distractor_snippet_ids,quest_alpha_mean,quest_beta_mean,quest_beta_sd,quest_lambda_mean,quest_lambda_sd,difficulty_level,threshold_75,agency_rating,img_A_name,img_B_name,trigger_stim_onset,trigger_motion_start,trigger_resp_onset,trigger_resp_val,mem_item_num,mem_filename,mem_ground_truth,mem_response,mem_accuracy,mem_rt,mem_trigger_onset,mem_trigger_resp,participant,session,age,gender,handedness,quest_threshold_75,quest_alpha_sd,miniblock_order,starts_with,
,,1,99,001,calibration,2,0,1,0.347354013008391,-0.6306903787402434,0,False,1.3343526999960886,False,square,dot,0,0,0.7868489501376656,-1.8654876060563832,-313.4019178174724,147.55644640651857,732,[np.int64(1117)],0.08546844611530306,3.2884933912590077,2.0699589733917225,0.0266646667842519,0.021664116488440077,,,,,,,,,,,,,,,,,,99,001,99,f,r,,0.7868489501376656,,,
,,2,99,001,calibration,2,0,2,0.5350820483873121,0.14055915473515587,1,False,0.6893234000017401,False,dot,dot,0,0,0.7680685877645114,16.101513201823323,2882.170863126375,143.37482392647235,132,[np.int64(1034)],-0.06239143700573463,3.2968115039161887,2.0738354920765576,0.02633574150448608,0.02160265882743015,,,,,,,,,,,,,,,,,,99,001,99,f,r,,0.7680685877645114,,,
,,3,99,001,calibration,2,0,3,0.5350820483873121,0.14055915473515587,0,False,1.1101934000034817,False,square,dot,0,0,0.6810044062069017,3.552467963496774,642.9967013929161,138.17494650277447,1108,[np.int64(887)],0.40513297766447653,3.213100821515287,2.035962171544374,0.02756695397055095,0.021800856182433936,,,,,,,,,,,,,,,,,,99,001,99,f,r,,0.6810044062069017,,,
,,4,99,001,calibration,2,0,4,0.5981210736084265,0.3976423325602886,0,False,0.8430445999983931,False,dot,square,0,0,0.5940474498864532,14.330874324059842,2565.226504006712,205.83651999652594,860,[np.int64(631)],0.7446903634961866,3.2053705435700293,2.0303987123763823,0.028467662327213396,0.021915706799112325,,,,,,,,,,,,,,,,,,99,001,99,f,r,,0.5940474498864532,,,
,,5,99,001,calibration,2,0,5,0.7133701336716126,0.9118086882105548,1,False,1.3093716000003042,False,dot,dot,0,0,0.5780516022429686,12.484645868477262,2259.7209021943845,160.21599182709502,869,[np.int64(670)],0.6503299802906114,3.229238226386167,2.0415524268574794,0.028108752537503494,0.02187024947643845,,,,,,,,,,,,,,,,,,99,001,99,f,r,,0.5780516022429686,,,
,,6,99,001,calibration,2,0,6,0.7133701336716126,0.9118086882105548,1,False,0.7244338000018615,False,square,square,0,0,0.5579990423329024,13.734290942116976,2458.438078638939,228.74618752216045,933,[np.int64(1052)],0.5653964957474243,3.2661133226167984,2.058257557139141,0.02773383962895904,0.021818106198565213,,,,,,,,,,,,,,,,,,99,001,99,f,r,,0.5579990423329024,,,
,,7,99,001,calibration,2,0,7,0.6580745541515514,0.654725510385422,0,False,0.9575775999983307,False,dot,square,0,0,0.5099883786580215,15.789076182578448,2810.4555604989637,232.60684999410876,1262,[np.int64(1438)],0.8391549781118179,3.210750275725864,2.029579881538512,0.028808050873379763,0.021944830571803797,,,,,,,,,,,,,,,,,,99,001,99,f,r,,0.5099883786580215,,,
,,8,99,001,calibration,2,0,8,0.7629446568996856,1.1688918660356877,1,False,0.4262461999896914,False,square,square,0,0,0.49042212793373313,14.556688741738256,2591.0905960294094,150.84927834425193,521,[np.int64(1240)],0.7726437700897832,3.2595643456661323,2.05183825803942,0.028416279073445728,0.021899351390334956,,,,,,,,,,,,,,,,,,99,001,99,f,r,,0.49042212793373313,,,
,,9,99,001,calibration,2,0,9,0.7133701336716126,0.9118086882105548,0,False,1.0728965000016615,False,dot,square,0,0,0.4633233261325284,16.50886020478316,2971.594836860969,182.3458856736937,720,[np.int64(798)],1.0097911864315985,3.1607307162528744,1.99794956296778,0.02962064146243812,0.022010612666531756,,,,,,,,,,,,,,,,,,99,001,99,f,r,,0.4633233261325284,,,
,,10,99,001,calibration,2,0,10,0.7629446568996856,1.1688918660356877,1,False,0.7750227000069572,False,dot,dot,0,0,0.44973440700960077,17.61873283895344,3188.990643850573,198.14937182039617,325,[np.int64(524)],0.9456244223463517,3.1926926284541683,2.0147690025822507,0.029255325447611766,0.02197829269147371,,,,,,,,,,,,,,,,,,99,001,99,f,r,,0.44973440700960077,,,
,,11,99,001,calibration,2,0,11,0.7629446568996856,1.1688918660356877,1,False,0.7724355999962427,False,square,square,0,0,0.4346135679828416,23.713896538751815,4197.359687359071,180.05322663860645,699,[np.int64(16)],nan,nan,nan,nan,nan,,,,,,,,,,,,,,,,,,99,001,99,f,r,,0.4346135679828416,,,
,,12,99,001,calibration,2,0,12,0.7629446568996856,1.1688918660356877,0,False,0.8412257000018144,False,dot,square,0,0,0.4299592960683277,19.23216870607913,3481.022535800322,180.84282052719527,1525,[np.int64(1195)],nan,nan,nan,nan,nan,,,,,,,,,,,,,,,,,,99,001,99,f,r,,0.4299592960683277,,,
,,13,99,001,calibration,2,0,13,0.806273406195118,1.4259750438608214,0,False,0.7555417999974452,False,square,dot,0,0,0.4235482712033101,23.78800707072847,4305.629279801853,239.50095389452017,31,[np.int64(1341)],nan,nan,nan,nan,nan,,,,,,,,,,,,,,,,,,99,001,99,f,r,,0.4235482712033101,,,
,,14,99,001,calibration,2,0,14,0.806273406195118,1.4259750438608214,0,False,0.7259106999990763,False,square,dot,0,0,0.3929569458068268,21.000746910133678,3801.1351907341955,180.09909043254424,1107,[np.int64(595)],nan,nan,nan,nan,nan,,,,,,,,,,,,,,,,,,99,001,99,f,r,,0.3929569458068268,,,
,,15,99,001,calibration,2,0,15,0.806273406195118,1.4259750438608214,1,False,1.3240686999924947,False,dot,dot,0,0,0.3961226388873104,23.509173134320218,4255.16033731196,217.74595657645656,478,[np.int64(1538)],nan,nan,nan,nan,nan,,,,,,,,,,,,,,,,,,99,001,99,f,r,,0.3961226388873104,,,
,,16,99,001,calibration,2,0,16,0.806273406195118,1.4259750438608214,0,False,0.9926260999927763,False,dot,square,0,0,0.36100380503898805,14.729151328846843,2665.9763905212785,194.37513059893595,1051,[np.int64(1446)],nan,nan,nan,nan,nan,,,,,,,,,,,,,,,,,,99,001,99,f,r,,0.36100380503898805,,,
,,17,99,001,calibration,2,0,17,0.843309065531368,1.683058221685953,1,False,0.643574500005343,False,square,square,0,0,0.3624027176210148,14.86537874303934,2690.6335524901206,166.83546517538136,159,[np.int64(1073)],nan,nan,nan,nan,nan,,,,,,,,,,,,,,,,,,99,001,99,f,r,,0.3624027176210148,,,
,,18,99,001,calibration,2,0,18,0.843309065531368,1.683058221685953,1,False,1.1088271000044188,False,dot,dot,0,0,0.36189999357674524,19.340307434704915,3326.532878769245,216.38573816974167,1082,[np.int64(1249)],nan,nan,nan,nan,nan,,,,,,,,,,,,,,,,,,99,001,99,f,r,,0.36189999357674524,,,
,,19,99,001,calibration,2,0,19,0.806273406195118,1.4259750438608214,1,False,0.758797800008324,False,dot,dot,0,0,0.3639534513193255,19.745457330475315,3573.927776816032,197.78315675245307,384,[np.int64(841)],nan,nan,nan,nan,nan,,,,,,,,,,,,,,,,,,99,001,99,f,r,,0.3639534513193255,,,
