participant,session,age,gender,handedness,phase,overall_trial_num,trial_in_block,mem_filename,mem_ground_truth,controlled,mem_response,mem_rt,mem_trigger_onset,mem_trigger_resp
99,001,26,f,r,memory_test,83,1,costume_04s,unseen,,no,2.503532799993991,52,61
99,001,26,f,r,memory_test,84,2,gearshift_12n,seen,yes,yes,0.674783499998739,51,61
99,001,26,f,r,memory_test,85,3,hot_tub_07s,unseen,,no,0.3417182999983197,52,61
99,001,26,f,r,memory_test,86,4,macaroni_13s,unseen,,yes,0.5267886000074213,52,62
99,001,26,f,r,memory_test,87,5,praying_mantis_20s,unseen,,no,0.4958175000065239,52,61
99,001,26,f,r,memory_test,88,6,football_05s,seen,no,no,0.47165839999797754,51,62
99,001,26,f,r,memory_test,89,7,banana_06s,seen,yes,no,1.0965505999920424,51,62
99,001,26,f,r,memory_test,90,8,skewer_09s,seen,no,yes,0.9864914000063436,51,61
99,001,26,f,r,memory_test,91,9,cornhusk_03s,unseen,,no,0.7633410999987973,52,61
99,001,26,f,r,memory_test,92,10,pencil_sharpener_11s,unseen,,yes,1.5196421000000555,52,62
99,001,26,f,r,memory_test,93,11,corset_17s,seen,no,yes,0.8857605999946827,51,61
99,001,26,f,r,memory_test,94,12,praying_mantis_04s,seen,yes,yes,0.657121800002642,51,61
99,001,26,f,r,memory_test,95,13,pretzel_07s,unseen,,no,1.141935600011493,52,61
99,001,26,f,r,memory_test,96,14,coin_15s,seen,yes,no,1.3437648999970406,51,62
99,001,26,f,r,memory_test,97,15,hamburger_02s,seen,no,yes,0.8410264999984065,51,61
99,001,26,f,r,memory_test,98,16,locker_12s,seen,yes,yes,0.8327782999986084,51,61
99,001,26,f,r,memory_test,99,17,target_14s,seen,yes,yes,0.7701124000013806,51,61
99,001,26,f,r,memory_test,100,18,locker_08s,unseen,,yes,0.26479220000328496,52,62
99,001,26,f,r,memory_test,101,19,juicer1_09s,unseen,,yes,0.4569372999976622,52,62
99,001,26,f,r,memory_test,102,20,dishrag_10s,unseen,,no,0.11504520000016782,52,61
99,001,26,f,r,memory_test,103,21,coin_03s,unseen,,yes,0.19476830000348855,52,62
99,001,26,f,r,memory_test,104,22,sleeping_bag_12s,unseen,,no,0.13470600001164712,52,61
99,001,26,f,r,memory_test,105,23,mushroom_07n,seen,no,no,0.2567243000085,51,62
99,001,26,f,r,memory_test,106,24,filing_cabinet_07s,unseen,,yes,0.1864415000018198,52,62
99,001,26,f,r,memory_test,107,25,banana_03s,unseen,,no,0.1529614000028232,52,61
99,001,26,f,r,memory_test,108,26,toad_16s,unseen,,yes,0.15029689999937546,52,62
99,001,26,f,r,memory_test,109,27,fingerprint_12s,seen,no,no,1.0191949000000022,51,62
