thisRow.t,notes,trial_num,participant,session,phase,n_shapes,block_num,staircase_trial,prop_used,accuracy,is_timeout,rt_choice,early_response,true_shape,resp_shape,angle_bias,applied_angle_bias,consecutive_correct,reversals,current_staircase_prop,mean_evidence,sum_evidence,var_evidence,participant,session,
,,1,,001,calibration,2,1,1,0.5,1,False,3.197887099988293,True,square,square,0,0,1,0,0.5,9.90369661717347,1911.4134471144796,268.2261930160706,,001,
,,2,,001,calibration,2,1,2,0.5,1,False,3.2307901000021957,True,square,square,0,0,2,0,0.5,10.062987602144137,1962.2825824181068,231.92737297446754,,001,
,,3,,001,calibration,2,1,3,0.5,1,False,2.7136934000300243,True,square,square,0,0,0,0,0.45,9.439455656531855,1548.0707276712242,306.7835629199327,,001,
,,4,,001,calibration,2,1,4,0.45,1,False,3.697669000015594,True,square,square,0,0,1,0,0.45,8.461294580413519,1886.8686914322145,251.01046245285661,,001,
,,5,,001,calibration,2,1,5,0.45,1,False,3.546968700014986,True,square,square,0,0,2,0,0.45,6.469121703286169,1384.3920445032402,302.2596110075636,,001,
,,6,,001,calibration,2,1,6,0.45,1,False,3.5981625000131316,True,square,square,0,0,0,0,0.4,9.49468911693747,2041.3581601415563,253.56826971534431,,001,
,,7,,001,calibration,2,1,7,0.4,0,False,4.797658599971328,True,dot,square,0,0,0,1,0.45,6.180862369513111,1786.2692247892892,325.1566342632168,,001,
,,8,,001,calibration,2,1,8,0.45,0,False,3.831599599972833,True,dot,square,0,0,0,1,0.5,7.025823202168551,1629.990982903104,378.28919523597915,,001,
,,9,,001,calibration,2,1,9,0.5,0,False,3.447565799986478,True,dot,square,0,0,0,1,0.55,9.36395078090516,1947.7017624282735,307.50485083951514,,001,
,,10,,001,calibration,2,1,10,0.55,1,False,3.014359000022523,True,square,square,0,0,1,1,0.55,13.481362056007239,2453.6078941933174,182.74065496898285,,001,
,,11,,001,calibration,2,1,11,0.55,1,False,4.564163399976678,True,square,square,0,0,2,1,0.55,13.415300246091114,3689.2075676750565,181.31179072015254,,001,
,,12,,001,calibration,2,1,12,0.55,1,False,3.6138977999798954,True,square,square,0,0,0,2,0.5,13.848237334837712,3018.9157389946213,170.13871593703422,,001,
