thisRow.t,notes,trial_num,participant,session,phase,n_shapes,block_num,staircase_trial,prop_used,accuracy,is_timeout,rt_choice,early_response,true_shape,resp_shape,angle_bias,applied_angle_bias,consecutive_correct,reversals,current_staircase_prop,mean_evidence,sum_evidence,var_evidence,participant,session,block_order,
,,1,,001,calibration,4,1,1,0.25,0,False,1.9547253000782803,False,circle,square,0,0,0,0,0.3,2.7608481912604477,499.71352261814104,107.71967514051465,,001,4shape_first,
,,2,,001,calibration,4,1,2,0.3,1,False,0.5703762999037281,False,square,square,0,0,1,0,0.3,4.519247334671236,817.9837675754936,112.90906757519949,,001,4shape_first,
,,3,,001,calibration,4,1,3,0.3,1,False,1.4369237999198958,False,square,square,0,0,2,0,0.3,3.678353012803256,665.7818953173894,174.21605923982347,,001,4shape_first,
,,4,,001,calibration,4,1,4,0.3,1,False,3.7627498999936506,False,triangle,triangle,0,0,0,1,0.25,1.775222854050085,317.7648908749652,59.934566931014075,,001,4shape_first,
,,5,,001,calibration,4,1,5,0.25,0,False,0.6048470999812707,False,circle,square,0,0,0,2,0.3,5.063378943299938,916.4715887372888,182.14802996797408,,001,4shape_first,
,,6,,001,calibration,4,1,6,0.3,1,False,0.6933981999754906,False,square,square,0,0,1,2,0.3,7.880955115422834,1426.452875891533,221.54467555435988,,001,4shape_first,
,,7,,001,calibration,4,1,7,0.3,0,False,17.830841699964367,False,hexagon,square,0,0,0,2,0.35,5.006950205062467,906.2579871163066,173.07178771372622,,001,4shape_first,
,,8,,001,calibration,4,1,8,0.35,1,False,0.123299999977462,False,square,square,0,0,1,2,0.35,7.880308976915163,1426.3359248216445,232.46533849962015,,001,4shape_first,
,,9,,001,calibration,4,1,9,0.35,1,False,1.795693999971263,False,hexagon,hexagon,0,0,2,2,0.35,6.962789169690546,1260.2648397139887,146.90559609061629,,001,4shape_first,
,,10,,001,calibration,4,1,10,0.35,0,False,2.8620305999647826,False,circle,triangle,0,0,0,2,0.39999999999999997,6.756294271681429,1222.8892631743386,251.5257739273692,,001,4shape_first,
