thisRow.t,notes,trial_num,participant,session,phase,n_shapes,block_num,staircase_trial,prop_used,accuracy,is_timeout,rt_choice,early_response,true_shape,resp_shape,angle_bias,applied_angle_bias,consecutive_correct,reversals,current_staircase_prop,mean_evidence,sum_evidence,var_evidence,participant,session,
,,1,,001,calibration,2,1,1,0.25,1,False,1.697543999995105,False,square,square,0,0,1,0,0.25,1.9722169186243164,356.97126227100125,239.5262396072608,,001,
,,2,,001,calibration,2,1,2,0.25,1,False,0.5501306999940425,False,square,square,0,0,2,0,0.25,7.977019058763066,1443.840449636115,210.273358972397,,001,
,,3,,001,calibration,2,1,3,0.25,1,False,0.8179426999995485,False,square,square,0,0,0,0,0.2,4.40641738119536,797.5615459963601,250.87218777398897,,001,
,,4,,001,calibration,2,1,4,0.2,1,False,32.82761570002185,False,square,square,0,0,1,0,0.2,5.06211182574348,916.2422404595698,249.91053998163565,,001,
,,5,,001,calibration,2,1,5,0.2,0,False,0.5165804999996908,False,dot,square,0,0,0,1,0.25,2.4120046043756975,436.57283339200126,111.43050648562917,,001,
,,6,,001,calibration,2,1,6,0.25,1,False,0.5110805999720469,False,square,square,0,0,1,1,0.25,7.37700556783565,1335.2380077782527,243.1063706797895,,001,
,,7,,001,calibration,2,1,7,0.25,1,False,2.111983600014355,False,square,square,0,0,2,1,0.25,7.5139002627483835,1344.9881470319606,234.81742311373665,,001,
,,8,,001,calibration,2,1,8,0.25,0,False,1.5510914000333287,False,dot,square,0,0,0,1,0.3,8.092321248365854,1464.7101459542196,356.95829553576647,,001,
,,9,,001,calibration,2,1,9,0.3,1,False,1.2972417999990284,False,square,square,0,0,1,1,0.3,3.4902675970981405,631.7384350747634,110.32967754788464,,001,
,,10,,001,calibration,2,1,10,0.3,1,False,0.9231077000149526,False,square,square,0,0,2,1,0.3,1.6699174648027337,302.2550611292948,22.56272171866083,,001,
,,11,,001,calibration,2,1,11,0.3,1,False,1.1525776999769732,False,dot,dot,0,0,0,2,0.25,8.228362119350798,1489.3335436024945,249.74870276274982,,001,
,,12,,001,calibration,2,1,12,0.25,0,False,0.5413413000060245,False,dot,square,0,0,0,3,0.3,10.512934426729949,1902.8411312381209,314.0012581275306,,001,
