thisRow.t,notes,trial_num,participant,session,phase,n_shapes,block_num,staircase_trial,prop_used,accuracy,is_timeout,rt_choice,early_response,true_shape,resp_shape,angle_bias,applied_angle_bias,consecutive_correct,reversals,current_staircase_prop,mean_evidence,sum_evidence,var_evidence,target_snippet_id,distractor_snippet_ids,participant,session,block_order,
,,1,19961,001,calibration,4,1,1,0.25,0,False,2.3864566003903747,False,circle,square,0,0,0,0,0.3,4.94167541559943,894.4432502234968,277.1819099847058,978,"[np.int64(94), np.int64(1442), np.int64(839)]",19961,001,4shape_first,
,,2,19961,001,calibration,4,1,2,0.3,1,False,0.5986714996397495,False,square,square,0,0,1,0,0.3,-2.6391652866542508,-477.6889168844194,81.71232476519948,1170,"[np.int64(495), np.int64(879), np.int64(1507)]",19961,001,4shape_first,
,,3,19961,001,calibration,4,1,3,0.3,0,False,2.154088200069964,False,hexagon,square,0,0,0,0,0.35,3.6398042575137817,658.8045706099945,156.61221688746113,1509,"[np.int64(407), np.int64(654), np.int64(360)]",19961,001,4shape_first,
,,4,19961,001,calibration,4,1,4,0.35,0,False,0.6319085001014173,False,circle,square,0,0,0,0,0.39999999999999997,3.6902389487850025,667.9332497300854,84.54503546695953,169,"[np.int64(912), np.int64(1149), np.int64(1385)]",19961,001,4shape_first,
,,5,19961,001,calibration,4,1,5,0.39999999999999997,0,False,0.4720651996321976,False,circle,square,0,0,0,0,0.44999999999999996,2.82822494698831,511.9087154048841,187.74483122295257,307,"[np.int64(1237), np.int64(381), np.int64(1025)]",19961,001,4shape_first,
,,6,19961,001,calibration,4,1,6,0.44999999999999996,1,False,1.5283451997675002,False,circle,circle,0,0,1,0,0.44999999999999996,6.486965489787051,1174.1407536514562,191.7598779160444,1567,"[np.int64(766), np.int64(1092), np.int64(523)]",19961,001,4shape_first,
,,7,19961,001,calibration,4,1,7,0.44999999999999996,1,False,0.9153892998583615,False,circle,circle,0,0,2,0,0.44999999999999996,6.873338593972418,1244.0742855090077,73.66220120990208,714,"[np.int64(683), np.int64(97), np.int64(1)]",19961,001,4shape_first,
,,8,19961,001,calibration,4,1,8,0.44999999999999996,0,False,1.369940500240773,False,triangle,circle,0,0,0,0,0.49999999999999994,7.825436935085799,1416.4040852505295,236.12895005513505,902,"[np.int64(149), np.int64(571), np.int64(1445)]",19961,001,4shape_first,
,,9,19961,001,calibration,4,1,9,0.49999999999999994,1,False,4.427738899830729,False,triangle,triangle,0,0,1,0,0.49999999999999994,9.421172335714768,1705.232192764373,73.20671677069805,119,"[np.int64(1264), np.int64(297), np.int64(478)]",19961,001,4shape_first,
,,10,19961,001,calibration,4,1,10,0.49999999999999994,0,False,3.5510546998120844,False,circle,hexagon,0,0,0,0,0.5499999999999999,12.262358679396899,2219.4869209708386,97.36371043306674,621,"[np.int64(618), np.int64(587), np.int64(1446)]",19961,001,4shape_first,
,,11,19961,001,calibration,4,1,11,0.5499999999999999,1,False,1.4958174000494182,False,hexagon,hexagon,0,0,1,0,0.5499999999999999,13.342081664089712,2414.916781200238,116.94622690316895,12,"[np.int64(769), np.int64(210), np.int64(1216)]",19961,001,4shape_first,
,,12,19961,001,calibration,4,1,12,0.5499999999999999,1,False,5.253495700191706,False,triangle,triangle,0,0,2,0,0.5499999999999999,9.109942439487805,1648.8995815472927,89.62680388725053,692,"[np.int64(163), np.int64(1102), np.int64(644)]",19961,001,4shape_first,
,,13,19961,001,calibration,4,1,13,0.5499999999999999,1,False,0.3446508999913931,False,triangle,triangle,0,0,0,1,0.49999999999999994,15.830280340573868,2865.28074164387,93.44840318886547,519,"[np.int64(1009), np.int64(995), np.int64(1573)]",19961,001,4shape_first,
,,14,19961,001,calibration,4,1,14,0.49999999999999994,1,False,4.688213100191206,False,square,square,0,0,1,1,0.49999999999999994,11.257040420128389,2037.5243160432385,59.4369442619052,943,"[np.int64(1116), np.int64(935), np.int64(1340)]",19961,001,4shape_first,
,,15,19961,001,calibration,4,1,15,0.49999999999999994,1,False,1.660990399774164,False,triangle,triangle,0,0,2,1,0.49999999999999994,7.239175580280284,1310.2907800307314,114.35613172834854,948,"[np.int64(772), np.int64(372), np.int64(383)]",19961,001,4shape_first,
