thisRow.t,notes,trial_num,participant,session,phase,n_shapes,block_num,staircase_trial,prop_used,accuracy,is_timeout,rt_choice,early_response,true_shape,resp_shape,angle_bias,applied_angle_bias,consecutive_correct,reversals,current_staircase_prop,mean_evidence,sum_evidence,var_evidence,participant,session,
,,1,,001,calibration,2,1,1,0.5,nan,True,nan,False,dot,timeout,0,0,0,0,0.5,5.936747888033943,1786.9611142982167,138.0168102759174,,001,
,,2,,001,calibration,2,1,2,0.5,nan,True,nan,False,dot,timeout,0,0,0,0,0.5,12.635012406494342,3803.1387343547967,220.22528927361688,,001,
,,3,,001,calibration,2,1,3,0.5,nan,True,nan,False,square,timeout,0,0,0,0,0.5,16.196493729324406,4875.144612526647,241.2716668042074,,001,
,,4,,001,calibration,2,1,4,0.5,nan,True,nan,False,square,timeout,0,0,0,0,0.5,8.854467121143054,2656.340136342916,156.02434320562412,,001,
,,5,,001,calibration,2,1,5,0.5,nan,True,nan,False,dot,timeout,0,0,0,0,0.5,4.894121658941531,1473.1306193414007,110.46225196333498,,001,
,,6,,001,calibration,2,1,6,0.5,nan,True,nan,False,dot,timeout,0,0,0,0,0.5,5.17893051888962,1558.8580861857756,124.51059432235236,,001,
,,7,,001,calibration,2,1,7,0.5,nan,True,nan,False,dot,timeout,0,0,0,0,0.5,5.955340373058496,1792.5574522906072,133.3897730218472,,001,
,,8,,001,calibration,2,1,8,0.5,nan,True,nan,False,square,timeout,0,0,0,0,0.5,5.868544258708554,1766.4318218712747,130.01418956653833,,001,
,,9,,001,calibration,2,1,9,0.5,nan,True,nan,False,dot,timeout,0,0,0,0,0.5,11.580899542623193,3485.850762329581,192.46161995452835,,001,
,,10,,001,calibration,2,1,10,0.5,nan,True,nan,False,square,timeout,0,0,0,0,0.5,0.042895030884062546,12.911404296102827,0.3687880592479457,,001,
,,11,,001,calibration,2,1,11,0.5,nan,True,nan,False,dot,timeout,0,0,0,0,0.5,2.5876413813905446,778.8800557985539,62.753296894799426,,001,
,,12,,001,calibration,2,1,12,0.5,nan,True,nan,False,dot,timeout,0,0,0,0,0.5,12.842694887305237,3865.651161078876,222.75079907691727,,001,
,,13,,001,calibration,2,1,13,0.5,nan,True,nan,False,square,timeout,0,0,0,0,0.5,8.96957857739639,2699.8431517963136,195.53487691839985,,001,
,,14,,001,calibration,2,1,14,0.5,nan,True,nan,False,square,timeout,0,0,0,0,0.5,3.7789095441868543,1137.4517728002431,78.43960698321813,,001,
