thisRow.t;notes;overall_trial_num;participant;session;age;gender;handedness;phase;calib_target;n_shapes;block_num;trial_in_block;prop_used;stimulus_logit;detection_accuracy;is_timeout;rt_choice;early_response;true_controlled;response_controlled;quest_alpha_sd;mean_evidence;sum_evidence;var_evidence;target_snippet_id;distractor_snippet_ids;quest_alpha_mean;quest_beta_mean;quest_beta_sd;quest_lambda_mean;quest_lambda_sd;control_condition;threshold_75;agency_rating;img_A_name;img_B_name;trigger_fix;trigger_stim_onset;trigger_motion_start;trigger_resp_onset;trigger_resp_val;target_is_left;participant;session;age;gender;handedness;quest_prop_low;quest_low_converged;quest_prop_high;quest_high_converged;miniblock_order;starts_with
;;1;1;1;23;m;r;calibration;0.55;2;0;1;0.347354013008391;-0.6306903787402434;0;TRUE;nan;FALSE;square;timeout;0.9647827600469936;42.763.998.667.931.100;8.210.687.744.242.770;1.578.219.502.977.300;946;[np.int64(1373)];-0.4032637351236755;32.578.881.299.235.900;20.598.586.972.362.500;0.026000000000000002;0.021540659228538015;;;;;;;;;;;;1;1;23;m;r;;;;;;
;;2;1;1;23;m;r;calibration;0.55;2;0;2;0.347354013008391;-0.6306903787402434;1;FALSE;14.864.953.999.931.400;FALSE;dot;dot;0.9585022178944526;22.460.968.378.851.000;41.552.791.500.874.400;29.505.800.129.271.400;10;[np.int64(722)];-0.6105307855798056;32.449.087.058.269.000;2.055.422.663.760.530;0.0257181206205907;0.02148187862845949;;;;;;;;;;;;1;1;23;m;r;;;;;;
;;3;1;1;23;m;r;calibration;0.55;2;0;3;0.347354013008391;-0.6306903787402434;1;FALSE;0.8513835000048857;FALSE;square;square;0.9261401199953351;24.095.404.660.003.600;607.204.197.432.092;11.939.392.388.431.300;766;[np.int64(663)];-0.8088180781535858;3.249.478.062.754.120;20.577.708.660.113.300;0.025403727978280513;0.021413000928689013;;;;;;;;;;;;1;1;23;m;r;;;;;;
;;4;1;1;23;m;r;calibration;0.55;2;0;4;0.40766968306220214;-0.37360720091511007;0;FALSE;10.083.777.999.971.000;FALSE;dot;square;0.8577065355739377;8.444.508.647.853.520;15.369.005.739.093.400;32.051.642.058.085.300;238;[np.int64(923)];-0.11035630232260359;3.118.646.214.381.690;20.043.000.006.396.800;0.02701312168069854;0.021708242636034276;;;;;;;;;;;;1;1;23;m;r;;;;;;
;;5;1;1;23;m;r;calibration;0.55;2;0;5;0.40766968306220214;-0.37360720091511007;0;FALSE;0.7207695999823045;FALSE;dot;square;0.7120014164022872;553.874.758.176.798;10.080.520.598.817.700;2.020.036.424.637.220;1055;[np.int64(1064)];0.27487334930366863;31.671.149.997.730.600;2.023.744.802.639.660;0.027632467193165727;0.021802787037637685;;;;;;;;;;;;1;1;23;m;r;;;;;;
;;6;1;1;23;m;r;calibration;0.55;2;0;6;0.5981210736084265;0.3976423325602886;1;FALSE;0.5662447999930009;FALSE;dot;dot;0.690614876461618;16.164.399.654.882.900;29.419.207.371.886.800;20.923.882.124.517.100;793;[np.int64(560)];0.15118654660903888;3.184.254.301.421.750;20.319.127.340.434.300;0.027286494156793448;0.021749342776679448;;;;;;;;;;;;1;1;23;m;r;;;;;;
;;7;1;1;23;m;r;calibration;0.55;2;0;7;0.5981210736084265;0.3976423325602886;1;FALSE;0.751143300003605;FALSE;dot;dot;0.662840368675673;16.588.200.751.297.800;3.019.052.536.736.200;18.882.408.841.909.600;820;[np.int64(1087)];0.04065446730844163;32.154.330.693.491.900;2.046.078.162.653.940;0.026921169601523545;0.02168846110765825;;;;;;;;;;;;1;1;23;m;r;;;;;;
;;8;1;1;23;m;r;calibration;0.55;2;0;8;0.5981210736084265;0.3976423325602886;1;FALSE;0.42628960000001825;FALSE;dot;dot;0.6328461146239781;17.421.447.416.746.600;3.188.124.877.264.640;21.900.254.781.684.100;344;[np.int64(678)];-0.0552871387460957;32.583.777.904.696.200;2.064.849.371.866.440;0.026540256094572008;0.021620105210438095;;;;;;;;;;;;1;1;23;m;r;;;;;;
;;9;1;1;23;m;r;calibration;0.55;2;0;9;0.5350820483873121;0.14055915473515587;1;FALSE;0.6452719999942929;FALSE;square;square;0.6116673194349489;15.637.134.415.448.300;2.799.047.060.365.260;20.127.617.789.560.500;929;[np.int64(334)];-0.15229136885625438;3.288.459.211.872.580;20.787.741.314.630.600;0.026185510667663968;0.021552047209944275;;;;;;;;;;;;1;1;23;m;r;;;;;;
;;10;1;1;23;m;r;calibration;0.55;2;0;10;0.47090191089840744;-0.11652402308997703;1;FALSE;0.4913821999798529;FALSE;dot;dot;0.6013307665823232;11.013.857.613.783.800;2.004.522.085.708.660;18.914.688.941.506.900;643;[np.int64(1043)];-0.2510523167104;329.410.342.839.068;20.812.493.796.697.600;0.02586312456632186;0.02148651992468596;;;;;;;;;;;;1;1;23;m;r;;;;;;
