participant,session,age,gender,handedness,phase,overall_trial_num,trial_in_block,mem_filename,mem_ground_truth,controlled,trial_level,item_type,mem_response,mem_rt,mem_trigger_fix,mem_trigger_onset,mem_trigger_resp
1,001,23,m,r,memory_test,248,1,scoop_12s,unseen,,,,no,1.1535762999847066,85,55,61
1,001,23,m,r,memory_test,249,2,pacifier_04s,unseen,,,,no,0.9404310999962036,85,55,61
1,001,23,m,r,memory_test,250,3,brick_09s,unseen,,,,no,1.058129299985012,85,55,61
1,001,23,m,r,memory_test,251,4,riser_11s,unseen,,,,no,1.0038112999754958,85,55,61
1,001,23,m,r,memory_test,252,5,pill_04s,unseen,,,,no,1.4889166999782901,85,55,61
1,001,23,m,r,memory_test,253,6,spaghetti_07s,unseen,,,,no,1.4028623000194784,85,55,61
1,001,23,m,r,memory_test,254,7,wig_01s,unseen,,,,no,1.3524630999891087,85,55,61
1,001,23,m,r,memory_test,255,8,slot_machine_05s,seen,yes,high,controlled,no,1.2363460999913514,82,52,62
1,001,23,m,r,memory_test,256,9,blueberry_07s,unseen,,,,no,2.1102354000031482,85,55,61
1,001,23,m,r,memory_test,257,10,computer_screen_12s,seen,yes,low,controlled,no,1.6719497999874875,81,51,62
1,001,23,m,r,memory_test,258,11,washing_machine_06s,unseen,,,,no,2.438570800004527,85,55,61
1,001,23,m,r,memory_test,259,12,wood_03s,seen,no,low,uncontrolled,yes,0.9366116999881342,83,53,61
1,001,23,m,r,memory_test,260,13,staple_06s,seen,no,high,uncontrolled,yes,0.9624307000194676,84,54,61
1,001,23,m,r,memory_test,261,14,piggy_bank_01b,seen,no,high,uncontrolled,no,1.4300819000054616,84,54,62
1,001,23,m,r,memory_test,262,15,diamond_14s,unseen,,,,no,1.4193164999887813,85,55,61
1,001,23,m,r,memory_test,263,16,pepper2_08s,unseen,,,,no,3.544052899989765,85,55,61
1,001,23,m,r,memory_test,264,17,cross_05s,unseen,,,,no,1.2534039999882225,85,55,61
1,001,23,m,r,memory_test,265,18,dumbbell_10s,seen,no,low,uncontrolled,yes,4.102601100021275,83,53,61
1,001,23,m,r,memory_test,266,19,unicycle_03s,unseen,,,,no,2.4506201000185683,85,55,61
1,001,23,m,r,memory_test,267,20,noisemaker_05s,unseen,,,,yes,3.681285400001798,85,55,62
1,001,23,m,r,memory_test,268,21,toilet_paper_07s,unseen,,,,no,1.3444352000078652,85,55,61
1,001,23,m,r,memory_test,269,22,dice_14s,seen,no,high,uncontrolled,no,1.5732802000129595,84,54,62
1,001,23,m,r,memory_test,270,23,donut_15s,unseen,,,,yes,1.2209064000053331,85,55,62
1,001,23,m,r,memory_test,271,24,blindfold_16s,unseen,,,,no,1.149202000000514,85,55,61
1,001,23,m,r,memory_test,272,25,cloak_13s,unseen,,,,no,1.896300299995346,85,55,61
1,001,23,m,r,memory_test,273,26,nutcracker_06s,seen,no,high,uncontrolled,no,2.3187737000116613,84,54,62
1,001,23,m,r,memory_test,274,27,latte_01b,seen,yes,high,controlled,no,2.0993338999978732,82,52,62
1,001,23,m,r,memory_test,275,28,cardboard_07s,seen,yes,low,controlled,yes,3.377781999995932,81,51,61
1,001,23,m,r,memory_test,276,29,bead_13s,unseen,,,,no,2.358200199989369,85,55,61
1,001,23,m,r,memory_test,277,30,mannequin_03s,unseen,,,,no,1.3515589000016917,85,55,61
1,001,23,m,r,memory_test,278,31,taffy_08s,seen,no,low,uncontrolled,no,1.239028199983295,83,53,62
1,001,23,m,r,memory_test,279,32,eye_patch_11s,seen,yes,high,controlled,no,1.6680865999951493,82,52,62
1,001,23,m,r,memory_test,280,33,jeans_07s,unseen,,,,no,4.259004899999127,85,55,61
1,001,23,m,r,memory_test,281,34,checkers_06s,unseen,,,,no,4.446418800012907,85,55,61
1,001,23,m,r,memory_test,282,35,curling_iron_03s,seen,yes,low,controlled,no,3.3155281999788713,81,51,62
1,001,23,m,r,memory_test,283,36,dishrag_10s,unseen,,,,no,0.9669455999974161,85,55,61
1,001,23,m,r,memory_test,284,37,kazoo_08s,unseen,,,,yes,5.81428789999336,85,55,62
1,001,23,m,r,memory_test,285,38,hobbyhorse_04s,seen,yes,low,controlled,yes,1.4395796000026166,81,51,61
1,001,23,m,r,memory_test,286,39,holster_09s,unseen,,,,no,1.5486884000129066,85,55,61
1,001,23,m,r,memory_test,287,40,hydrant_12s,seen,no,low,uncontrolled,no,1.2131984999869019,83,53,62
1,001,23,m,r,memory_test,288,41,battery_10s,unseen,,,,no,0.9873839000065345,85,55,61
1,001,23,m,r,memory_test,289,42,lip_balm_08s,seen,no,high,uncontrolled,yes,5.4883864000148606,84,54,61
1,001,23,m,r,memory_test,290,43,honeycomb_08s,unseen,,,,no,1.387399799976265,85,55,61
1,001,23,m,r,memory_test,291,44,ravioli_15s,seen,yes,low,controlled,yes,0.9261158999870531,81,51,61
1,001,23,m,r,memory_test,292,45,juicer1_09s,unseen,,,,no,3.6605612999992445,85,55,61
1,001,23,m,r,memory_test,293,46,bean_04s,unseen,,,,no,1.8278872999944724,85,55,61
1,001,23,m,r,memory_test,294,47,cantaloupe_07s,unseen,,,,no,1.2389926000032574,85,55,61
1,001,23,m,r,memory_test,295,48,dumpster_02s,unseen,,,,yes,1.6314901000005193,85,55,62
1,001,23,m,r,memory_test,296,49,nest_01b,unseen,,,,no,1.5295432999846525,85,55,61
1,001,23,m,r,memory_test,297,50,retainer_08s,unseen,,,,no,1.0381961000093725,85,55,61
1,001,23,m,r,memory_test,298,51,blower_10s,seen,no,low,uncontrolled,yes,1.8421159000135958,83,53,61
1,001,23,m,r,memory_test,299,52,bowler_hat_03s,unseen,,,,no,2.431653700012248,85,55,61
1,001,23,m,r,memory_test,300,53,thumbtack_15n,seen,yes,high,controlled,no,1.7149966999713797,82,52,62
1,001,23,m,r,memory_test,301,54,mouse2_09s,seen,no,high,uncontrolled,no,2.239688500005286,84,54,62
1,001,23,m,r,memory_test,302,55,bandage_01b,unseen,,,,yes,9.194003199983854,85,55,62
1,001,23,m,r,memory_test,303,56,caviar_07s,seen,no,low,uncontrolled,yes,1.6293739000102505,83,53,61
1,001,23,m,r,memory_test,304,57,guacamole_14s,unseen,,,,yes,0.9720805999822915,85,55,62
1,001,23,m,r,memory_test,305,58,vending_machine_03s,seen,yes,high,controlled,no,5.867884299979778,82,52,62
1,001,23,m,r,memory_test,306,59,hula_hoop_16s,seen,yes,low,controlled,yes,0.770138699997915,81,51,61
1,001,23,m,r,memory_test,307,60,peppermint_02s,seen,yes,low,controlled,no,2.4719716000254266,81,51,62
1,001,23,m,r,memory_test,308,61,wrap_09s,seen,no,high,uncontrolled,no,2.2070873999909963,84,54,62
1,001,23,m,r,memory_test,309,62,bedpan_08s,seen,yes,low,controlled,no,2.116259300004458,81,51,62
1,001,23,m,r,memory_test,310,63,nail_file_05s,unseen,,,,no,1.068834000005154,85,55,61
1,001,23,m,r,memory_test,311,64,cufflink_05s,unseen,,,,yes,2.7488302999990992,85,55,62
1,001,23,m,r,memory_test,312,65,flan_02s,seen,yes,high,controlled,yes,0.8180706000130158,82,52,61
1,001,23,m,r,memory_test,313,66,pantsuit_07s,unseen,,,,yes,0.9853450999944471,85,55,62
1,001,23,m,r,memory_test,314,67,jam_01b,unseen,,,,no,1.0285219000070356,85,55,61
1,001,23,m,r,memory_test,315,68,roll_01b,seen,no,high,uncontrolled,no,1.648458199982997,84,54,62
1,001,23,m,r,memory_test,316,69,outlet_02s,unseen,,,,no,0.9022742999950424,85,55,61
1,001,23,m,r,memory_test,317,70,diskette_03s,unseen,,,,no,1.5969164000125602,85,55,61
1,001,23,m,r,memory_test,318,71,toast_13s,seen,no,high,uncontrolled,yes,0.8322117000061553,84,54,61
1,001,23,m,r,memory_test,319,72,target_14s,unseen,,,,no,1.079376300011063,85,55,61
1,001,23,m,r,memory_test,320,73,coin_15s,seen,no,low,uncontrolled,yes,0.880664500000421,83,53,61
1,001,23,m,r,memory_test,321,74,gauze_02s,seen,yes,low,controlled,yes,2.958368399995379,81,51,61
1,001,23,m,r,memory_test,322,75,sandbox_06s,unseen,,,,no,1.9557774999993853,85,55,61
1,001,23,m,r,memory_test,323,76,gumball_02s,unseen,,,,no,1.130022800003644,85,55,61
1,001,23,m,r,memory_test,324,77,footrest_01b,seen,yes,low,controlled,yes,1.3663856000057422,81,51,61
1,001,23,m,r,memory_test,325,78,bowling_ball_01b,seen,no,high,uncontrolled,no,1.116600000008475,84,54,62
1,001,23,m,r,memory_test,326,79,meatloaf_09s,unseen,,,,no,2.1876206999877468,85,55,61
1,001,23,m,r,memory_test,327,80,metal_detector_04s,unseen,,,,no,1.7544067999988329,85,55,61
1,001,23,m,r,memory_test,328,81,pencil_sharpener_11s,unseen,,,,no,2.8103438999969512,85,55,61
1,001,23,m,r,memory_test,329,82,sarcophagus_08s,seen,no,low,uncontrolled,yes,1.6136226000089664,83,53,61
1,001,23,m,r,memory_test,330,83,cellphone_11s,seen,no,low,uncontrolled,no,0.9260041999805253,83,53,62
1,001,23,m,r,memory_test,331,84,peg_08s,unseen,,,,yes,3.0572080000129063,85,55,62
1,001,23,m,r,memory_test,332,85,coaster_08s,unseen,,,,no,1.4606184999865945,85,55,61
1,001,23,m,r,memory_test,333,86,pillbox_13s,seen,yes,high,controlled,yes,0.8756685999978799,82,52,61
1,001,23,m,r,memory_test,334,87,toilet_12s,unseen,,,,no,0.9583847000030801,85,55,61
1,001,23,m,r,memory_test,335,88,ice_cream_10s,unseen,,,,no,0.9791359000082593,85,55,61
1,001,23,m,r,memory_test,336,89,figurine_11s,seen,yes,high,controlled,no,1.5600979000155348,82,52,62
1,001,23,m,r,memory_test,337,90,bracelet2_08s,seen,no,high,uncontrolled,no,0.8031385000213049,84,54,62
1,001,23,m,r,memory_test,338,91,touchpad_11s,unseen,,,,no,2.403686600009678,85,55,61
1,001,23,m,r,memory_test,339,92,wing_03s,unseen,,,,no,6.467051300016465,85,55,61
1,001,23,m,r,memory_test,340,93,ice_pack_10s,unseen,,,,no,8.05772949999664,85,55,61
1,001,23,m,r,memory_test,341,94,pickle_09s,seen,no,low,uncontrolled,yes,0.8368838999886066,83,53,61
1,001,23,m,r,memory_test,342,95,subway_13s,unseen,,,,no,0.9693805999995675,85,55,61
1,001,23,m,r,memory_test,343,96,magnet_12s,seen,no,low,uncontrolled,no,1.2851365000242367,83,53,62
1,001,23,m,r,memory_test,344,97,clipper2_05s,unseen,,,,no,2.01787680000416,85,55,61
1,001,23,m,r,memory_test,345,98,macaroni_11s,unseen,,,,no,5.435347400023602,85,55,61
