participant,session,age,gender,handedness,phase,overall_trial_num,trial_in_block,mem_filename,mem_ground_truth,controlled,trial_level,item_type,mem_response,mem_rt,mem_trigger_onset,mem_trigger_resp
11,001,27,f,r,memory_test,244,1,paint_01b,seen,no,high,uncontrolled,no,2.4876501001417637,51,62
11,001,27,f,r,memory_test,245,2,snowman_03s,seen,yes,high,controlled,yes,1.1811476000584662,51,61
11,001,27,f,r,memory_test,246,3,pants_11s,unseen,,,,no,1.1640256999526173,52,61
11,001,27,f,r,memory_test,247,4,chocolate_11s,unseen,,,,no,1.0544908998999745,52,61
11,001,27,f,r,memory_test,248,5,coaster_08s,unseen,,,,no,0.8832120997831225,52,61
11,001,27,f,r,memory_test,249,6,football_04s,seen,yes,low,controlled,yes,1.051015900215134,51,61
11,001,27,f,r,memory_test,250,7,nutcracker_06s,seen,no,high,uncontrolled,no,0.7887912001460791,51,62
11,001,27,f,r,memory_test,251,8,gold_13s,seen,no,high,uncontrolled,yes,1.4905984001234174,51,61
11,001,27,f,r,memory_test,252,9,scale_05s,unseen,,,,no,0.8068818000610918,52,61
11,001,27,f,r,memory_test,253,10,bulletproof_vest_03s,seen,yes,high,controlled,no,0.7875469999853522,51,62
11,001,27,f,r,memory_test,254,11,hobbyhorse_04s,seen,no,low,uncontrolled,no,0.7160203999374062,51,62
11,001,27,f,r,memory_test,255,12,scoop_12s,unseen,,,,no,0.8948762000072747,52,61
11,001,27,f,r,memory_test,256,13,shorts_12s,unseen,,,,no,0.8303159000352025,52,61
11,001,27,f,r,memory_test,257,14,bikini_09s,unseen,,,,no,1.075640699826181,52,61
11,001,27,f,r,memory_test,258,15,french_horn_05s,seen,no,low,uncontrolled,no,0.897223399952054,51,62
11,001,27,f,r,memory_test,259,16,yarn_10s,seen,no,high,uncontrolled,yes,3.4109729998745024,51,61
11,001,27,f,r,memory_test,260,17,gyro_01b,seen,no,low,uncontrolled,no,1.939037699950859,51,62
11,001,27,f,r,memory_test,261,18,orange_rind_15s,seen,yes,high,controlled,no,0.9933021999895573,51,62
11,001,27,f,r,memory_test,262,19,wooden_leg_02s,unseen,,,,no,0.9646598000545055,52,61
11,001,27,f,r,memory_test,263,20,glove_11s,unseen,,,,no,1.2095326001290232,52,61
11,001,27,f,r,memory_test,264,21,electric_chair_11s,seen,no,high,uncontrolled,no,1.216535500017926,51,62
11,001,27,f,r,memory_test,265,22,kazoo_08s,unseen,,,,no,1.0645922999829054,52,61
11,001,27,f,r,memory_test,266,23,gas_mask_01b,seen,no,high,uncontrolled,yes,1.3226105000358075,51,61
11,001,27,f,r,memory_test,267,24,origami_03s,seen,no,high,uncontrolled,no,1.2345157000236213,51,62
11,001,27,f,r,memory_test,268,25,figurine_11s,seen,no,high,uncontrolled,no,0.570777100045234,51,62
11,001,27,f,r,memory_test,269,26,yolk_11s,unseen,,,,yes,0.8470405999105424,52,62
11,001,27,f,r,memory_test,270,27,sweet_potato_07s,unseen,,,,yes,0.6778871999122202,52,62
11,001,27,f,r,memory_test,271,28,riser_11s,unseen,,,,no,0.9857693000230938,52,61
11,001,27,f,r,memory_test,272,29,caviar_07s,seen,yes,high,controlled,yes,1.053107300074771,51,61
11,001,27,f,r,memory_test,273,30,dishrag_10s,unseen,,,,no,1.1154493000358343,52,61
11,001,27,f,r,memory_test,274,31,saxophone_07s,seen,yes,high,controlled,no,0.9424627998378128,51,62
11,001,27,f,r,memory_test,275,32,nail_08s,seen,yes,high,controlled,no,0.6607578999828547,51,62
11,001,27,f,r,memory_test,276,33,tamale_13s,seen,no,low,uncontrolled,no,0.8713787000160664,51,62
11,001,27,f,r,memory_test,277,34,step_stool_06s,seen,no,high,uncontrolled,yes,0.5775560999754816,51,61
11,001,27,f,r,memory_test,278,35,blower_10s,seen,no,low,uncontrolled,yes,0.7102914999704808,51,61
11,001,27,f,r,memory_test,279,36,bandanna_10s,unseen,,,,no,1.12166259996593,52,61
11,001,27,f,r,memory_test,280,37,bracelet1_12s,seen,yes,high,controlled,no,0.730029399972409,51,62
11,001,27,f,r,memory_test,281,38,shoelace_06s,seen,no,high,uncontrolled,no,0.6354769000317901,51,62
11,001,27,f,r,memory_test,282,39,mannequin_03s,unseen,,,,no,0.7666118999477476,52,61
11,001,27,f,r,memory_test,283,40,wetsuit_09s,seen,yes,low,controlled,yes,0.6903691999614239,51,61
11,001,27,f,r,memory_test,284,41,match_07s,unseen,,,,no,0.7665911999065429,52,61
11,001,27,f,r,memory_test,285,42,noisemaker_05s,unseen,,,,yes,0.810774700017646,52,62
11,001,27,f,r,memory_test,286,43,pinball_09s,seen,no,low,uncontrolled,yes,0.9211817998439074,51,61
11,001,27,f,r,memory_test,287,44,visor_13s,unseen,,,,no,0.678021099884063,52,61
11,001,27,f,r,memory_test,288,45,clipper1_01s,unseen,,,,yes,0.8727144000586122,52,62
11,001,27,f,r,memory_test,289,46,cardboard_07s,seen,no,low,uncontrolled,no,0.5934615000151098,51,62
11,001,27,f,r,memory_test,290,47,sink_03s,seen,yes,low,controlled,no,0.6087803000118583,51,62
11,001,27,f,r,memory_test,291,48,cashew_11s,unseen,,,,no,0.5973871999885887,52,61
11,001,27,f,r,memory_test,292,49,hot_chocolate_12s,seen,yes,low,controlled,no,1.3644070997834206,51,62
11,001,27,f,r,memory_test,293,50,touchpad_11s,unseen,,,,no,0.7446487999986857,52,61
11,001,27,f,r,memory_test,294,51,soap_06s,unseen,,,,no,0.6705083998385817,52,61
11,001,27,f,r,memory_test,295,52,cardigan_11s,unseen,,,,no,0.758481299970299,52,61
11,001,27,f,r,memory_test,296,53,cornhusk_03s,unseen,,,,yes,1.3293524999171495,52,62
11,001,27,f,r,memory_test,297,54,limousine_10s,seen,yes,high,controlled,no,0.6634400999173522,51,62
11,001,27,f,r,memory_test,298,55,t-shirt_06s,seen,no,low,uncontrolled,no,0.6076470001135021,51,62
11,001,27,f,r,memory_test,299,56,urinal_10s,unseen,,,,no,0.6980264999438077,52,61
11,001,27,f,r,memory_test,300,57,sarcophagus_08s,seen,no,high,uncontrolled,no,0.7343506999313831,51,62
11,001,27,f,r,memory_test,301,58,pajamas_13s,seen,no,low,uncontrolled,no,0.5276052998378873,51,62
11,001,27,f,r,memory_test,302,59,meatball_14s,seen,no,high,uncontrolled,yes,1.112930300179869,51,61
11,001,27,f,r,memory_test,303,60,spaghetti_07s,unseen,,,,no,0.6775527999270707,52,61
11,001,27,f,r,memory_test,304,61,lip_balm_08s,seen,no,high,uncontrolled,yes,1.4457817000802606,51,61
11,001,27,f,r,memory_test,305,62,plaster_cast_13s,seen,yes,high,controlled,no,1.0876178001053631,51,62
11,001,27,f,r,memory_test,306,63,grapefruit_09s,seen,yes,high,controlled,yes,0.6305748000741005,51,61
11,001,27,f,r,memory_test,307,64,croissant_13s,unseen,,,,no,0.6861166001763195,52,61
11,001,27,f,r,memory_test,308,65,pocket_01b,seen,yes,high,controlled,yes,1.4642151000443846,51,61
11,001,27,f,r,memory_test,309,66,roll_01b,seen,yes,high,controlled,no,0.6904251999221742,51,62
11,001,27,f,r,memory_test,310,67,saffron_12s,unseen,,,,no,1.0077404000330716,52,61
11,001,27,f,r,memory_test,311,68,cornbread_01b,unseen,,,,no,0.6250614000018686,52,61
11,001,27,f,r,memory_test,312,69,brick_09s,unseen,,,,no,0.4793622000142932,52,61
11,001,27,f,r,memory_test,313,70,rattle_08s,unseen,,,,no,0.4899038001894951,52,61
11,001,27,f,r,memory_test,314,71,vending_machine_03s,seen,yes,high,controlled,yes,1.002796099986881,51,61
11,001,27,f,r,memory_test,315,72,punch2_01b,unseen,,,,no,0.8597583998925984,52,61
11,001,27,f,r,memory_test,316,73,ice_pack_10s,unseen,,,,no,0.8611358001362532,52,61
11,001,27,f,r,memory_test,317,74,ice_cream_10s,unseen,,,,no,1.0696328000631183,52,61
11,001,27,f,r,memory_test,318,75,vacuum_04s,seen,no,high,uncontrolled,no,1.5639696000143886,51,62
11,001,27,f,r,memory_test,319,76,bracket_05s,unseen,,,,no,1.106153099797666,52,61
11,001,27,f,r,memory_test,320,77,sleeping_bag_09s,unseen,,,,no,1.3680686000734568,52,61
11,001,27,f,r,memory_test,321,78,pipe1_10s,unseen,,,,no,0.8945106000173837,52,61
11,001,27,f,r,memory_test,322,79,keyboard_15s,seen,yes,low,controlled,no,1.540462699951604,51,62
11,001,27,f,r,memory_test,323,80,cantaloupe_07s,unseen,,,,no,0.7994176999200135,52,61
11,001,27,f,r,memory_test,324,81,cotton_candy_08s,seen,no,low,uncontrolled,no,0.4043117000255734,51,62
11,001,27,f,r,memory_test,325,82,turf_07s,seen,no,high,uncontrolled,yes,0.6707391999661922,51,61
11,001,27,f,r,memory_test,326,83,coffee_bean_12s,seen,yes,low,controlled,yes,0.7472250000573695,51,61
11,001,27,f,r,memory_test,327,84,hook1_15s,seen,yes,low,controlled,no,0.6431227000430226,51,62
11,001,27,f,r,memory_test,328,85,diskette_03s,unseen,,,,no,0.7042817000765353,52,61
11,001,27,f,r,memory_test,329,86,butter_06s,unseen,,,,no,0.7633042000234127,52,61
11,001,27,f,r,memory_test,330,87,garter_02s,seen,yes,low,controlled,yes,1.0038697000127286,51,61
11,001,27,f,r,memory_test,331,88,cigarette_15s,unseen,,,,no,0.6833271000068635,52,61
11,001,27,f,r,memory_test,332,89,bin_01b,seen,yes,high,controlled,yes,0.8981695999391377,51,61
11,001,27,f,r,memory_test,333,90,creme_brulee_07s,seen,yes,low,controlled,no,0.8147094999440014,51,62
11,001,27,f,r,memory_test,334,91,swab_02s,unseen,,,,no,0.7262442999053746,52,61
11,001,27,f,r,memory_test,335,92,gearshift_11n,unseen,,,,no,1.8336775000207126,52,61
11,001,27,f,r,memory_test,336,93,leggings_12s,unseen,,,,yes,1.3652579998597503,52,62
11,001,27,f,r,memory_test,337,94,water_heater_01b,unseen,,,,no,0.7235469999723136,52,61
11,001,27,f,r,memory_test,338,95,snorkel_05s,seen,no,high,uncontrolled,yes,0.9802643000148237,51,61
11,001,27,f,r,memory_test,339,96,dumbbell_10s,seen,no,high,uncontrolled,no,0.7013421000447124,51,62
11,001,27,f,r,memory_test,340,97,playpen_05s,unseen,,,,no,0.6893951999954879,52,61
11,001,27,f,r,memory_test,341,98,spring_roll_05s,unseen,,,,no,0.7528160000219941,52,61
11,001,27,f,r,memory_test,342,99,lighter_08s,unseen,,,,no,0.7299731001257896,52,61
11,001,27,f,r,memory_test,343,100,stockings_06s,seen,yes,low,controlled,yes,0.8162165000103414,51,61
11,001,27,f,r,memory_test,344,101,domino_02s,unseen,,,,no,1.8581245001405478,52,61
11,001,27,f,r,memory_test,345,102,bathrobe_07s,unseen,,,,yes,1.6612878998275846,52,62
11,001,27,f,r,memory_test,346,103,corn_14s,seen,yes,low,controlled,no,0.7861234999727458,51,62
11,001,27,f,r,memory_test,347,104,harp_05s,unseen,,,,yes,1.017922200029716,52,62
11,001,27,f,r,memory_test,348,105,pantsuit_07s,unseen,,,,yes,0.8188670999370515,52,62
11,001,27,f,r,memory_test,349,106,sauerkraut_03s,unseen,,,,no,0.6725206999108195,52,61
11,001,27,f,r,memory_test,350,107,lollipop_01b,seen,yes,low,controlled,yes,0.753713299985975,51,61
11,001,27,f,r,memory_test,351,108,teabag_09s,seen,no,low,uncontrolled,no,0.8905797998886555,51,62
11,001,27,f,r,memory_test,352,109,waffle_iron_14s,unseen,,,,no,0.743999799946323,52,61
11,001,27,f,r,memory_test,353,110,pin_12s,seen,yes,high,controlled,no,0.5649496999103576,51,62
11,001,27,f,r,memory_test,354,111,raisin_14s,unseen,,,,no,0.8132366000209004,52,61
11,001,27,f,r,memory_test,355,112,peach_09n,seen,no,high,uncontrolled,no,0.7999322998803109,51,62
11,001,27,f,r,memory_test,356,113,pencil_10s,unseen,,,,no,0.6061402999330312,52,61
11,001,27,f,r,memory_test,357,114,light_switch_17s,seen,no,low,uncontrolled,no,0.5639734999276698,51,62
11,001,27,f,r,memory_test,358,115,marshmallow_12s,seen,yes,low,controlled,no,0.7262000001501292,51,62
11,001,27,f,r,memory_test,359,116,gauze_02s,seen,yes,high,controlled,no,0.647231100127101,51,62
11,001,27,f,r,memory_test,360,117,spam_01b,seen,no,high,uncontrolled,no,0.5338427000679076,51,62
11,001,27,f,r,memory_test,361,118,peg_08s,unseen,,,,yes,0.9183317001443356,52,62
11,001,27,f,r,memory_test,362,119,toilet_paper_07s,unseen,,,,no,1.2514981999993324,52,61
11,001,27,f,r,memory_test,363,120,batter_04s,seen,yes,high,controlled,no,1.0684110999573022,51,62
11,001,27,f,r,memory_test,364,121,card_07s,unseen,,,,no,0.7004470999818295,52,61
11,001,27,f,r,memory_test,365,122,braid_09s,unseen,,,,no,0.6044864000286907,52,61
11,001,27,f,r,memory_test,366,123,frisbee_04s,unseen,,,,no,0.6767877000384033,52,61
11,001,27,f,r,memory_test,367,124,gumball_02s,unseen,,,,no,0.7591669000685215,52,61
11,001,27,f,r,memory_test,368,125,bubble_wrap_11s,unseen,,,,no,1.033526899991557,52,61
11,001,27,f,r,memory_test,369,126,locker_12s,unseen,,,,no,0.520245400024578,52,61
11,001,27,f,r,memory_test,370,127,olive_12s,unseen,,,,no,0.44331440003588796,52,61
