thisRow.t;notes;overall_trial_num;participant;session;age;gender;handedness;phase;calib_target;n_shapes;block_num;trial_in_block;prop_used;stimulus_logit;detection_accuracy;is_timeout;rt_choice;early_response;true_controlled;response_controlled;quest_alpha_sd;mean_evidence;sum_evidence;var_evidence;target_snippet_id;distractor_snippet_ids;quest_alpha_mean;quest_beta_mean;quest_beta_sd;quest_lambda_mean;quest_lambda_sd;control_condition;threshold_75;agency_rating;img_A_name;img_B_name;trigger_stim_onset;trigger_motion_start;trigger_resp_onset;trigger_resp_val;participant;session;age;gender;handedness;quest_prop_low;quest_low_converged;quest_prop_high;quest_high_converged;miniblock_order;starts_with
;;1;5;1;19;m;r;calibration;0.55;2;0;1;0.347354013008391;-0.6306903787402434;0;FALSE;4.248.514.799.983.240;FALSE;square;dot;0.7868489501376656;10.171.932.934.514.600;18.207.759.952.781.200;22.870.626.946.279.100;108;[np.int64(950)];0.08546844611530306;32.884.933.912.590.000;20.699.589.733.917.200;0.0266646667842519;0.021664116488440077;;;;;;;;;;5;1;19;m;r;;;;;;
;;2;5;1;19;m;r;calibration;0.55;2;0;2;0.5350820483873121;0.14055915473515587;1;FALSE;14.477.010.000.264.200;FALSE;square;square;0.7680685877645114;5.347.908.913.753.950;9.679.715.133.894.650;8.903.239.681.386.650;773;[np.int64(1039)];-0.06239143700573463;32.968.115.039.161.800;20.738.354.920.765.500;0.02633574150448608;0.02160265882743015;;;;;;;;;;5;1;19;m;r;;;;;;
;;3;5;1;19;m;r;calibration;0.55;2;0;3;0.5350820483873121;0.14055915473515587;1;FALSE;25.472.333.000.507.200;FALSE;square;square;0.7386941509577899;1.068.217.909.380.250;19.334.744.159.782.600;1.644.382.604.110.080;1308;[np.int64(1216)];-0.19599638378391793;3.320.733.594.217.110;2.083.914.488.125.940;0.025983896614999752;0.02153275512190456;;;;;;;;;;5;1;19;m;r;;;;;;
;;4;5;1;19;m;r;calibration;0.55;2;0;4;0.5350820483873121;0.14055915473515587;1;FALSE;1.705.457.300.064.150;FALSE;dot;dot;0.7042880712139795;9.501.837.796.658.220;17.198.326.411.951.300;1.637.991.603.378.640;498;[np.int64(993)];-0.3120815790034459;33.577.691.000.380.200;209.887.292.076.611;0.025613595780084104;0.021454525462129854;;;;;;;;;;5;1;19;m;r;;;;;;
;;5;5;1;19;m;r;calibration;0.55;2;0;5;0.47090191089840744;-0.11652402308997703;1;FALSE;15.376.142.000.313.800;FALSE;dot;dot;0.6790583197267984;3.377.241.374.882.270;6.112.806.888.536.920;4.688.481.246.801.710;1414;[np.int64(934)];-0.4269904921471382;33.844.717.444.201.700;2.110.190.441.626.940;0.025265865323374898;0.021376789281911265;;;;;;;;;;5;1;19;m;r;;;;;;
;;6;5;1;19;m;r;calibration;0.55;2;0;6;0.347354013008391;-0.6306903787402434;1;FALSE;15.876.090.000.383.500;FALSE;dot;dot;0.6818987905101231;38.193.569.178.949.900;6.913.036.021.389.940;2.627.545.727.972.180;880;[np.int64(109)];-0.5487408554775369;33.520.602.599.352.700;20.957.192.452.205.000;0.02499745250400725;0.021314055146616114;;;;;;;;;;5;1;19;m;r;;;;;;
;;7;5;1;19;m;r;calibration;0.55;2;0;7;0.347354013008391;-0.6306903787402434;1;FALSE;13.855.341.000.016.700;FALSE;square;square;0.6772031074230581;4.484.065.006.699.920;8.116.157.662.126.860;3.621.998.714.423.020;562;[np.int64(1222)];-0.6701547994908685;3.337.368.132.187.300;20.886.943.205.557.600;0.02470611719280538;0.021243057567786657;;;;;;;;;;5;1;19;m;r;;;;;;
;;8;5;1;19;m;r;calibration;0.55;2;0;8;0.29156950079727495;-0.887773556565376;1;FALSE;25.707.153.000.403.100;FALSE;square;square;0.6816185192101772;16.430.009.922.897.500;29.738.317.960.444.600;1.636.814.359.998.160;1093;[np.int64(743)];-0.7929801241014247;33.036.281.810.400.300;20.736.367.108.914.400;0.02444384192486186;0.02117664123833414;;;;;;;;;;5;1;19;m;r;;;;;;
;;9;5;1;19;m;r;calibration;0.55;2;0;9;0.29156950079727495;-0.887773556565376;1;FALSE;10.024.914.999.958.100;FALSE;square;square;0.677260470618106;3.441.688.779.085.890;6.229.456.690.145.460;3.877.152.580.854.530;698;[np.int64(6)];-0.9161348856191112;32.878.588.901.495.700;20.662.349.909.643.000;0.024158565378776926;0.021101585234286995;;;;;;;;;;5;1;19;m;r;;;;;;
;;10;5;1;19;m;r;calibration;0.55;2;0;10;0.29156950079727495;-0.887773556565376;1;FALSE;0.7219986999407411;FALSE;dot;dot;0.6645136004237172;3.412.144.465.817.900;6.175.981.483.130.410;29.124.890.931.197.800;915;[np.int64(295)];-10.349.360.259.053.500;3.289.288.610.932.320;20.663.766.914.270.000;0.023852395105879116;0.021017757541976535;;;;;;;;;;5;1;19;m;r;;;;;;
