thisRow.t,notes,overall_trial_num,participant,session,age,gender,handedness,phase,calib_target,n_shapes,block_num,trial_in_block,prop_used,stimulus_logit,detection_accuracy,is_timeout,rt_choice,early_response,true_controlled,response_controlled,quest_alpha_sd,mean_evidence,sum_evidence,var_evidence,target_snippet_id,distractor_snippet_ids,quest_alpha_mean,quest_beta_mean,quest_beta_sd,quest_lambda_mean,quest_lambda_sd,control_condition,threshold_75,agency_rating,img_A_name,img_B_name,trigger_stim_onset,trigger_motion_start,trigger_resp_onset,trigger_resp_val,participant,session,age,gender,handedness,quest_prop_high,quest_high_converged,quest_prop_low,quest_low_converged,miniblock_order,starts_with,
,,1,6,001,35,m,r,calibration,0.85,2,-1,1,0.5981210736084265,0.3976423325602886,1,False,2.064560199971311,False,square,square,0.8833941500202273,10.088185544089527,1805.7852123920252,188.10539151614176,679,[np.int64(508)],0.49887896444510554,3.2323377588830704,2.050691472501904,0.0257364756811414,0.02148582368615677,,,,,,,,,,6,001,35,m,r,,,,,,,
,,2,6,001,35,m,r,calibration,0.85,2,-1,2,0.5350820483873121,0.14055915473515587,1,False,1.6331332999980077,False,square,square,0.8974722567509856,12.001009045207207,2172.1826371825045,173.70852582868812,1119,[np.int64(195)],0.3118133766571681,3.2082444668428995,2.0424419558677074,0.025480950703595955,0.02143037331807896,,,,,,,,,,6,001,35,m,r,,,,,,,
,,3,6,001,35,m,r,calibration,0.85,2,-1,3,0.5350820483873121,0.14055915473515587,1,False,1.9827325999503955,False,square,square,0.8872830967337415,10.609848101243863,1920.3825063251393,179.8182863624749,1376,[np.int64(674)],0.12417907816641394,3.202036049568465,2.0413069970393267,0.025192955999298612,0.021365090692057793,,,,,,,,,,6,001,35,m,r,,,,,,,
,,4,6,001,35,m,r,calibration,0.85,2,-1,4,0.5350820483873121,0.14055915473515587,1,False,1.5337262999964878,False,square,square,0.8556339725168699,6.960055532927109,1259.7700514598068,118.77761960765667,1328,[np.int64(650)],-0.05217551202368467,3.212904805647718,2.0470640208696436,0.02487584370063665,0.021289789542834836,,,,,,,,,,6,001,35,m,r,,,,,,,
,,5,6,001,35,m,r,calibration,0.85,2,-1,5,0.5981210736084265,0.3976423325602886,1,False,1.5015149000100791,False,square,square,0.8003514367271172,11.790811091178336,2134.1368075032788,182.16993247632004,109,[np.int64(1024)],-0.19317776838267303,3.249692783827168,2.061588839060837,0.024504387610261986,0.02119693986790726,,,,,,,,,,6,001,35,m,r,,,,,,,
,,6,6,001,35,m,r,calibration,0.85,2,-1,6,0.5981210736084265,0.3976423325602886,1,False,1.2531599999638274,False,square,square,0.7455100577193209,12.763251762303279,2310.1485689768933,201.67583507134142,729,[np.int64(1427)],-0.30702045345973,3.2958042780411603,2.0790037865465876,0.02411873104376625,0.021095329369743843,,,,,,,,,,6,001,35,m,r,,,,,,,
,,7,6,001,35,m,r,calibration,0.85,2,-1,7,0.5350820483873121,0.14055915473515587,1,False,1.45243229996413,False,square,square,0.7005904430629705,12.021052346876969,2175.8104747847315,206.48501369622954,172,[np.int64(461)],-0.4153292982264823,3.3417221114163373,2.09729942929005,0.023748981829506743,0.020992970817421727,,,,,,,,,,6,001,35,m,r,,,,,,,
,,8,6,001,35,m,r,calibration,0.85,2,-1,8,0.40766968306220214,-0.37360720091511007,1,False,1.303438000031747,False,square,square,0.6796966365425421,4.151488523434741,751.4194227416882,235.18272559018155,1258,[np.int64(937)],-0.536614435658069,3.347166072313858,2.098780271092517,0.023441796132000516,0.020904344156043253,,,,,,,,,,6,001,35,m,r,,,,,,,
,,9,6,001,35,m,r,calibration,0.85,2,-1,9,0.347354013008391,-0.6306903787402434,1,False,1.4355428999988362,False,square,square,0.6687357149422902,5.340374090858382,966.607710445367,330.1171680367756,692,[np.int64(253)],-0.6576130589227142,3.333519110544848,2.0924404681215183,0.023162240896485956,0.02082078308103772,,,,,,,,,,6,001,35,m,r,,,,,,,
,,10,6,001,35,m,r,calibration,0.85,2,-1,10,0.347354013008391,-0.6306903787402434,1,False,1.437422199989669,False,dot,dot,0.6507443215141001,3.1765005153340353,574.9465932754604,225.46437674109504,1233,[np.int64(245)],-0.7731213826811978,3.3372524500173215,2.093608125161419,0.02286300460961981,0.02072813704460038,,,,,,,,,,6,001,35,m,r,,,,,,,
,,11,6,001,35,m,r,calibration,0.85,2,-1,11,0.347354013008391,-0.6306903787402434,1,False,1.3368804000783712,False,square,square,0.6276179782292673,1.1179512759291903,202.34918094318343,210.05399767932533,1298,[np.int64(1102)],nan,nan,nan,nan,nan,,,,,,,,,,6,001,35,m,r,,,,,,,
,,12,6,001,35,m,r,calibration,0.85,2,-1,12,0.29156950079727495,-0.887773556565376,1,False,1.2990544000640512,False,square,square,0.613509958125051,2.118334492899547,383.418543214818,285.73288131004057,1170,[np.int64(567)],nan,nan,nan,nan,nan,,,,,,,,,,6,001,35,m,r,,,,,,,
,,13,6,001,35,m,r,calibration,0.85,2,-1,13,0.29156950079727495,-0.887773556565376,1,False,1.6196962000103667,False,square,square,0.5942899165175082,3.903817165447949,706.5909069460788,257.94531622192216,78,[np.int64(269)],nan,nan,nan,nan,nan,,,,,,,,,,6,001,35,m,r,,,,,,,
,,14,6,001,35,m,r,calibration,0.85,2,-1,14,0.29156950079727495,-0.887773556565376,1,False,1.252952800015919,False,dot,dot,0.5719714996001645,2.552225928836157,461.95289311934437,164.7968805883847,873,[np.int64(1040)],nan,nan,nan,nan,nan,,,,,,,,,,6,001,35,m,r,,,,,,,
,,15,6,001,35,m,r,calibration,0.85,2,-1,15,0.2414297750189407,-1.1448567343905092,1,False,1.5868594999192283,False,square,square,0.5585616707016096,3.4387842599349145,622.4199510482196,284.09093425946435,238,[np.int64(1417)],nan,nan,nan,nan,nan,,,,,,,,,,6,001,35,m,r,,,,,,,
,,16,6,001,35,m,r,calibration,0.85,2,-1,16,0.2414297750189407,-1.1448567343905092,1,False,1.2519699999829754,False,dot,dot,0.5415281495502068,2.0904161785407767,378.36532831588056,230.92907215794042,362,[np.int64(1446)],nan,nan,nan,nan,nan,,,,,,,,,,6,001,35,m,r,,,,,,,
,,17,6,001,35,m,r,calibration,0.85,2,-1,17,0.2414297750189407,-1.1448567343905092,0,False,1.2025905000045896,False,square,dot,0.5055810673896886,2.5055974837708814,453.51314456252953,205.8325726170238,403,[np.int64(599)],nan,nan,nan,nan,nan,,,,,,,,,,6,001,35,m,r,,,,,,,
,,18,6,001,35,m,r,calibration,0.85,2,-1,18,0.29156950079727495,-0.887773556565376,1,False,1.1498093000845984,False,square,square,0.4852436175665967,2.190933612077267,396.5589837859853,278.5135578166502,398,[np.int64(875)],nan,nan,nan,nan,nan,,,,,,,,,,6,001,35,m,r,,,,,,,
,,19,6,001,35,m,r,calibration,0.85,2,-1,19,0.29156950079727495,-0.887773556565376,1,False,1.1286729999119416,False,dot,dot,0.46583682383169367,2.3325407557393145,422.1898767888159,322.34162270805973,1351,[np.int64(1135)],nan,nan,nan,nan,nan,,,,,,,,,,6,001,35,m,r,,,,,,,
,,20,6,001,35,m,r,calibration,0.85,2,-1,20,0.29156950079727495,-0.887773556565376,1,False,1.2876444000285119,False,dot,dot,0.4481866863085037,1.3117890646930173,237.43382070943613,163.7031726995552,786,[np.int64(988)],-1.2496894981365532,3.4357534102666643,2.1349162752871296,0.021251586929789346,0.020156296508132044,,,,,,,,,,6,001,35,m,r,,,,,,,
,,21,6,001,35,m,r,calibration,0.85,2,-1,21,0.2414297750189407,-1.1448567343905092,1,False,1.2032521000364795,False,dot,dot,0.4393266501060322,2.8159414210128153,509.6853972033196,265.17133659457534,1370,[np.int64(730)],nan,nan,nan,nan,nan,,,,,,,,,,6,001,35,m,r,,,,,,,
,,22,6,001,35,m,r,calibration,0.85,2,-1,22,0.2414297750189407,-1.1448567343905092,1,False,1.2207275000400841,False,square,square,0.43016320648887313,1.43300283415259,259.3735129816188,125.37396696947611,1216,[np.int64(1539)],nan,nan,nan,nan,nan,,,,,,,,,,6,001,35,m,r,,,,,,,
,,23,6,001,35,m,r,calibration,0.85,2,-1,23,0.19750845711691875,-1.4019399122156422,1,False,1.3673430000199005,False,square,square,0.42994363113845124,0.7972305189905528,143.5014934182995,272.7969740130162,1033,[np.int64(1397)],nan,nan,nan,nan,nan,,,,,,,,,,6,001,35,m,r,,,,,,,
,,24,6,001,35,m,r,calibration,0.85,2,-1,24,0.19750845711691875,-1.4019399122156422,1,False,1.1675422999542207,False,dot,dot,0.427638614067407,1.1288929124179456,204.32961714764815,58.93270008619439,933,[np.int64(719)],nan,nan,nan,nan,nan,,,,,,,,,,6,001,35,m,r,,,,,,,
,,25,6,001,35,m,r,calibration,0.85,2,-1,25,0.19750845711691875,-1.4019399122156422,1,False,1.1709880999987945,False,square,square,0.42339062809094835,1.3476846909453508,243.93092906110851,290.0150474259399,962,[np.int64(227)],nan,nan,nan,nan,nan,,,,,,,,,,6,001,35,m,r,,,,,,,
,,26,6,001,35,m,r,calibration,0.85,2,-1,26,0.15989317907384526,-1.659023090040775,0,False,1.2525515999877825,False,dot,square,0.36933630109411664,0.8650843700563636,156.58027098020182,261.0118316226495,699,[np.int64(654)],nan,nan,nan,nan,nan,,,,,,,,,,6,001,35,m,r,,,,,,,
,,27,6,001,35,m,r,calibration,0.85,2,-1,27,0.2414297750189407,-1.1448567343905092,1,False,1.3320423000259325,False,square,square,0.3582372720131437,1.8191637949329158,329.26864688285775,76.78754420446711,755,[np.int64(1345)],nan,nan,nan,nan,nan,,,,,,,,,,6,001,35,m,r,,,,,,,
,,28,6,001,35,m,r,calibration,0.85,2,-1,28,0.19750845711691875,-1.4019399122156422,0,False,1.1811051999684423,False,square,dot,0.3307320726909409,1.4949717425737892,270.58988540585585,210.9096724050758,1350,[np.int64(928)],nan,nan,nan,nan,nan,,,,,,,,,,6,001,35,m,r,,,,,,,
,,29,6,001,35,m,r,calibration,0.85,2,-1,29,0.2414297750189407,-1.1448567343905092,1,False,1.1644157998962328,False,square,square,0.3198236126453831,2.2986987351755657,416.0644710667774,379.4774793102941,1368,[np.int64(675)],nan,nan,nan,nan,nan,,,,,,,,,,6,001,35,m,r,,,,,,,
,,30,6,001,35,m,r,calibration,0.85,2,-1,30,0.2414297750189407,-1.1448567343905092,1,False,1.130952800041996,False,dot,dot,0.3100209460150931,1.3066238443471232,236.49891582682932,263.0836310498675,320,[np.int64(204)],-1.368482292699723,3.7111364793962847,2.25346476805922,0.020307543522261943,0.019770733799722755,,,,,,,,,,6,001,35,m,r,,,,,,,
,,31,6,001,35,m,r,calibration,0.85,2,-1,31,0.2414297750189407,-1.1448567343905092,1,False,1.2537603999953717,False,square,square,0.3013787562483824,1.0713941136910754,193.92233457808464,166.79620246093234,497,[np.int64(708)],nan,nan,nan,nan,nan,,,,,,,,,,6,001,35,m,r,,,,,,,
,,32,6,001,35,m,r,calibration,0.85,2,-1,32,0.19750845711691875,-1.4019399122156422,1,False,1.1700603000354022,False,dot,dot,0.29931759124082735,0.8045878468328659,145.63040027674873,286.0196224802116,1445,[np.int64(726)],nan,nan,nan,nan,nan,,,,,,,,,,6,001,35,m,r,,,,,,,
,,33,6,001,35,m,r,calibration,0.85,2,-1,33,0.19750845711691875,-1.4019399122156422,1,False,1.071818400057964,False,dot,dot,0.297066455915011,0.6656115585562881,120.47569209868814,141.187458393865,1061,[np.int64(181)],nan,nan,nan,nan,nan,,,,,,,,,,6,001,35,m,r,,,,,,,
,,34,6,001,35,m,r,calibration,0.85,2,-1,34,0.19750845711691875,-1.4019399122156422,1,False,1.3512017000466585,False,dot,dot,0.2946565582836064,1.5712101944353252,284.38904519279384,213.14885722536752,1475,[np.int64(670)],nan,nan,nan,nan,nan,,,,,,,,,,6,001,35,m,r,,,,,,,
