thisRow.t,notes,overall_trial_num,participant,session,age,gender,handedness,phase,calib_target,n_shapes,block_num,trial_in_block,prop_used,stimulus_logit,detection_accuracy,is_timeout,rt_choice,early_response,true_controlled,response_controlled,quest_alpha_sd,mean_evidence,sum_evidence,var_evidence,target_snippet_id,distractor_snippet_ids,quest_alpha_mean,quest_beta_mean,quest_beta_sd,quest_lambda_mean,quest_lambda_sd,control_condition,threshold_75,agency_rating,img_A_name,img_B_name,trigger_stim_onset,trigger_motion_start,trigger_resp_onset,trigger_resp_val,participant,session,age,gender,handedness,quest_prop_low,quest_low_converged,quest_prop_high,quest_high_converged,miniblock_order,starts_with,
,,1,99,001,26,f,r,calibration,0.55,2,0,1,0.347354013008391,-0.6306903787402434,1,False,0.6148287000251003,False,dot,dot,0.9585022178944526,4.224125273351969,756.1184239300026,225.73511428692981,732,[np.int64(1117)],-0.6105307855798056,3.2449087058269095,2.055422663760532,0.0257181206205907,0.02148187862845949,,,,,,,,,,99,001,26,f,r,,,,,,,
,,2,99,001,26,f,r,calibration,0.55,2,0,2,0.347354013008391,-0.6306903787402434,1,False,0.6003273000242189,False,dot,dot,0.9261401199953351,4.234284012854809,766.4054063267205,228.96760964532768,132,[np.int64(1034)],-0.8088180781535858,3.249478062754128,2.0577708660113303,0.025403727978280513,0.021413000928689013,,,,,,,,,,99,001,26,f,r,,,,,,,
,,3,99,001,26,f,r,calibration,0.55,2,0,3,0.40766968306220214,-0.37360720091511007,1,False,0.4816755999927409,False,dot,dot,0.8644614427153365,6.645204148436344,1202.7819508669781,485.2627970836779,1108,[np.int64(887)],-0.9700635822792076,3.279681644503007,2.0687435841488386,0.025032186531235075,0.021327013668469365,,,,,,,,,,99,001,26,f,r,,,,,,,
,,4,99,001,26,f,r,calibration,0.55,2,0,4,0.347354013008391,-0.6306903787402434,1,False,0.6000277000130154,False,square,square,0.8074724288348268,1.3227545354291317,239.41857091267283,364.29458396134623,860,[np.int64(631)],-1.1190240970074623,3.311627193935783,2.081136767193931,0.024670840428403354,0.021238771821626617,,,,,,,,,,99,001,26,f,r,,,,,,,
,,5,99,001,26,f,r,calibration,0.55,2,0,5,0.347354013008391,-0.6306903787402434,1,False,1.0362857999862172,False,dot,dot,0.7495926648821191,5.995695678151973,1085.2209177455072,227.91165722659792,869,[np.int64(670)],-1.241575383088058,3.354074156241943,2.096974867907407,0.024293246696899848,0.021141592718768264,,,,,,,,,,99,001,26,f,r,,,,,,,
,,6,99,001,26,f,r,calibration,0.55,2,0,6,0.29156950079727495,-0.887773556565376,1,False,0.9359423000132665,False,dot,dot,0.7023309908200142,7.517118864210198,1360.5985144220458,323.60223523813966,933,[np.int64(1052)],-1.3588216304629763,3.3918364397574012,2.1111728966575884,0.0239330736742811,0.02104422061423556,,,,,,,,,,99,001,26,f,r,,,,,,,
,,7,99,001,26,f,r,calibration,0.55,2,0,7,0.2414297750189407,-1.1448567343905092,1,False,0.536154399975203,False,square,square,0.6655040029490339,2.61060149575707,472.51887073202965,227.8900434508171,1262,[np.int64(1438)],-1.4742093410781325,3.418155583309828,2.1207082838013434,0.02359503306669166,0.02094866297451967,,,,,,,,,,99,001,26,f,r,,,,,,,
,,8,99,001,26,f,r,calibration,0.55,2,0,8,0.19750845711691875,-1.4019399122156422,1,False,0.5863496999954805,False,square,square,0.6379682339783546,2.7695735089592457,501.2928051216235,274.69914057930947,521,[np.int64(1240)],-1.588994988127786,3.4288211960926755,2.1241451740947253,0.02328261508320846,0.020856746152409025,,,,,,,,,,99,001,26,f,r,,,,,,,
,,9,99,001,26,f,r,calibration,0.55,2,0,9,0.19750845711691875,-1.4019399122156422,1,False,0.3180483999894932,False,square,square,0.6059317278816257,4.6115429459298625,834.6892732133051,302.83865202692584,720,[np.int64(798)],-1.692549820154733,3.4548528600272017,2.1336724946732715,0.022953510534505457,0.02075603978196749,,,,,,,,,,99,001,26,f,r,,,,,,,
,,10,99,001,26,f,r,calibration,0.55,2,0,10,0.19750845711691875,-1.4019399122156422,0,False,1.1554355000262149,False,square,dot,0.5966314088233133,4.613599852570934,835.061573315339,510.9494244376498,325,[np.int64(524)],-1.3166086845669027,3.2927485535019323,2.0652506705363836,0.02437088736335484,0.02114247879165426,,,,,,,,,,99,001,26,f,r,,,,,,,
