participant,session,age,gender,handedness,phase,overall_trial_num,trial_in_block,mem_filename,mem_ground_truth,controlled,mem_response,mem_rt,mem_trigger_onset,mem_trigger_resp
99,001,26,f,r,memory_test,72,1,costume_04s,unseen,,no,1.6759734000079334,52,61
99,001,26,f,r,memory_test,73,2,gearshift_12n,seen,no,no,3.361999900022056,51,62
99,001,26,f,r,memory_test,74,3,hot_tub_07s,unseen,,no,2.4026566999964416,52,61
99,001,26,f,r,memory_test,75,4,macaroni_13s,unseen,,no,1.9112298000254668,52,61
99,001,26,f,r,memory_test,76,5,praying_mantis_20s,unseen,,no,1.6725096000009216,52,61
99,001,26,f,r,memory_test,77,6,football_05s,seen,yes,yes,4.181125500006601,51,61
99,001,26,f,r,memory_test,78,7,banana_06s,seen,no,no,1.7573865000158548,51,62
99,001,26,f,r,memory_test,79,8,skewer_09s,seen,yes,no,16.895416200044565,51,62
99,001,26,f,r,memory_test,80,9,cornhusk_03s,unseen,,yes,1.3927449000184424,52,62
99,001,26,f,r,memory_test,81,10,pencil_sharpener_11s,unseen,,no,0.584565700031817,52,61
99,001,26,f,r,memory_test,82,11,corset_17s,seen,no,yes,0.2509606999810785,51,61
99,001,26,f,r,memory_test,83,12,praying_mantis_04s,seen,yes,yes,0.26323440001579,51,61
99,001,26,f,r,memory_test,84,13,pretzel_07s,unseen,,no,0.14601399999810383,52,61
99,001,26,f,r,memory_test,85,14,coin_15s,seen,no,yes,0.30352489999495447,51,61
99,001,26,f,r,memory_test,86,15,hamburger_02s,seen,no,no,0.256065099965781,51,62
99,001,26,f,r,memory_test,87,16,locker_12s,seen,no,yes,0.2676516000065021,51,61
99,001,26,f,r,memory_test,88,17,target_14s,seen,yes,no,0.25541330000851303,51,62
99,001,26,f,r,memory_test,89,18,locker_08s,unseen,,no,0.49001109995879233,52,61
99,001,26,f,r,memory_test,90,19,juicer1_09s,unseen,,yes,0.22954480000771582,52,62
99,001,26,f,r,memory_test,91,20,dishrag_10s,unseen,,no,0.2414623000076972,52,61
99,001,26,f,r,memory_test,92,21,coin_03s,unseen,,no,0.2258733999915421,52,61
99,001,26,f,r,memory_test,93,22,sleeping_bag_12s,unseen,,yes,0.10750099999131635,52,62
99,001,26,f,r,memory_test,94,23,mushroom_07n,seen,no,no,0.19439090002560988,51,62
99,001,26,f,r,memory_test,95,24,filing_cabinet_07s,unseen,,no,0.24218459997791797,52,61
99,001,26,f,r,memory_test,96,25,banana_03s,unseen,,no,0.17936150002060458,52,61
99,001,26,f,r,memory_test,97,26,toad_16s,unseen,,no,0.5078769000247121,52,61
99,001,26,f,r,memory_test,98,27,fingerprint_12s,seen,yes,yes,0.911084400024265,51,61
99,001,26,f,r,memory_test,99,28,ketchup_15s,unseen,,no,1.1622455000178888,52,61
99,001,26,f,r,memory_test,100,29,mushroom_08n,unseen,,yes,0.5561659000231884,52,62
99,001,26,f,r,memory_test,101,30,limousine_01s,seen,no,no,0.2962921000435017,51,62
99,001,26,f,r,memory_test,102,31,dishrag_08s,seen,no,yes,0.23829179996391758,51,61
99,001,26,f,r,memory_test,103,32,bowtie_14s,unseen,,no,0.26239950000308454,52,61
99,001,26,f,r,memory_test,104,33,waffle_06s,unseen,,yes,0.5328690999886021,52,62
99,001,26,f,r,memory_test,105,34,creme_brulee_07s,unseen,,no,0.518807000014931,52,61
99,001,26,f,r,memory_test,106,35,limousine_10s,unseen,,yes,0.4061060000094585,52,62
99,001,26,f,r,memory_test,107,36,apron_10s,seen,yes,no,0.2694986999849789,51,62
99,001,26,f,r,memory_test,108,37,bracelet1_12s,seen,yes,yes,0.31035850004991516,51,61
99,001,26,f,r,memory_test,109,38,ginger_10s,unseen,,yes,0.26245809998363256,52,62
99,001,26,f,r,memory_test,110,39,skewer_01b,unseen,,yes,0.26840629999060184,52,62
99,001,26,f,r,memory_test,111,40,urinal_10s,seen,yes,yes,0.29138199996668845,51,61
99,001,26,f,r,memory_test,112,41,barrette_01b,unseen,,no,0.24395849998109043,52,61
99,001,26,f,r,memory_test,113,42,bubble_wrap_05s,unseen,,yes,0.2564994999556802,52,62
99,001,26,f,r,memory_test,114,43,cheese_05n,unseen,,no,0.2603260999894701,52,61
99,001,26,f,r,memory_test,115,44,waffle_08s,seen,yes,yes,0.2662980000022799,51,61
99,001,26,f,r,memory_test,116,45,ketchup_14s,seen,yes,no,0.2315210000379011,51,62
99,001,26,f,r,memory_test,117,46,bubble_wrap_11s,seen,yes,yes,0.17779279995011166,51,61
99,001,26,f,r,memory_test,118,47,bedpan_13s,seen,no,no,0.23409830004675314,51,62
99,001,26,f,r,memory_test,119,48,wooden_leg_08s,seen,yes,yes,0.2617807000060566,51,61
99,001,26,f,r,memory_test,120,49,light_switch_10s,seen,yes,no,0.21854189998703077,51,62
99,001,26,f,r,memory_test,121,50,headset_09s,unseen,,yes,0.05930269998498261,52,62
99,001,26,f,r,memory_test,122,51,sandbox_10s,seen,no,no,0.19742839998798445,51,62
99,001,26,f,r,memory_test,123,52,cheese_07s,seen,yes,yes,0.19261440000263974,51,61
99,001,26,f,r,memory_test,124,53,lion_22s,unseen,,no,0.15922600001795217,52,61
99,001,26,f,r,memory_test,125,54,sponge_14s,unseen,,no,0.35076860000845045,52,61
